"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
17,17,46,0,15,63,88,0,45,45,102,0,3,8,18
4,25,26,250,3,5,12,53,7,10,18,55,2,0,1
11,11,27,16,15,20,43,11,4,4,16,10,6,9,3
9,27,43,163,9,13,23,99,12,26,41,86,7,7,8
7,12,20,172,2,4,14,83,6,9,13,104,6,1,4
13,14,39,33,17,17,57,5,13,13,53,24,10,12,10
25,25,58,0,25,25,57,0,14,14,35,0,8,9,8
22,23,50,3,19,20,32,99,20,26,47,32,9,7,8
24,24,59,0,22,22,52,0,27,27,66,0,14,12,15
31,31,74,0,31,31,70,0,36,36,82,0,19,19,27
7,11,16,87,9,14,32,49,8,11,49,34,1,2,5
34,34,103,14,15,20,52,4,17,17,75,18,20,7,11
5,20,38,2,17,23,54,15,32,43,65,0,3,11,25
20,20,44,0,20,20,39,0,25,25,49,0,10,8,9
21,22,64,0,19,21,85,0,7,9,46,0,11,12,6
39,40,109,7,41,41,94,9,40,40,106,0,19,22,28
12,12,39,0,21,23,60,3,25,25,71,17,6,14,13
5,8,16,95,10,13,20,67,2,3,4,76,4,3,1
11,28,33,62,5,34,58,155,7,13,27,5,6,4,4
11,36,42,197,6,35,45,159,12,13,53,0,9,2,3
29,29,53,0,45,47,67,16,9,15,23,57,11,30,4
19,25,34,114,15,19,28,110,15,24,34,172,8,11,12
14,16,26,20,18,22,37,62,26,28,44,54,4,9,8
9,13,28,147,11,12,23,77,1,12,21,186,3,4,0
20,40,52,239,47,50,100,37,18,31,61,0,16,23,8
19,22,59,15,16,24,32,3,28,37,56,24,12,10,20
11,11,41,15,23,24,84,5,29,29,80,3,6,11,22
12,12,30,13,11,12,24,33,10,10,25,0,7,9,7
31,31,66,0,23,23,45,2,35,37,56,15,14,15,30
48,50,113,90,37,37,82,23,26,31,60,178,30,29,20
5,5,28,0,3,3,27,2,6,14,27,172,2,2,1
30,32,49,9,22,38,52,177,40,40,75,35,4,13,22
18,21,36,0,19,19,42,0,17,33,50,126,12,17,13
28,35,58,203,14,25,37,41,14,26,49,169,25,12,9
25,25,53,0,31,31,81,0,47,47,78,2,9,16,26
13,28,47,103,13,34,50,97,23,23,52,0,13,11,21
3,3,12,7,25,25,56,18,12,14,30,26,3,23,9
17,17,66,0,21,22,71,5,27,31,70,45,14,14,23
35,36,70,36,29,37,67,0,28,29,84,0,7,10,14
37,45,64,0,23,25,52,0,16,16,54,13,18,11,11
9,9,21,0,6,6,17,0,4,4,22,0,1,1,1
3,3,25,42,4,4,13,62,3,3,18,62,2,3,2
5,11,25,147,10,13,39,147,17,17,62,63,3,6,9
7,7,23,0,18,32,48,0,16,16,41,0,6,13,13
5,6,22,2,6,8,24,7,5,6,31,19,4,5,4
8,12,23,0,4,8,21,0,7,27,42,66,7,4,4
4,9,19,0,1,3,12,0,5,10,12,0,2,0,3
11,15,32,0,2,5,10,0,21,26,42,41,8,1,20
9,16,59,32,12,30,66,45,12,39,63,20,3,8,7
18,19,54,2,28,28,72,18,28,30,64,7,12,20,18
24,24,72,0,15,15,50,0,18,27,46,2,17,11,11
23,23,55,0,26,26,65,0,30,37,61,162,14,17,24
19,19,51,3,17,17,46,0,25,26,56,0,10,10,16
24,26,45,150,27,30,66,80,41,42,72,92,7,12,14
17,17,53,60,26,27,56,32,12,29,46,193,13,18,10
46,46,99,0,52,52,119,0,52,52,115,0,35,39,41
6,7,10,146,9,18,27,88,11,13,31,86,3,6,8
20,21,50,2,7,7,15,13,3,3,22,0,8,2,2
32,32,86,0,25,27,83,0,40,40,108,0,24,20,27
23,24,59,0,16,22,53,7,19,22,45,8,11,2,5
31,31,83,0,18,34,55,168,35,46,82,112,19,13,31
4,14,24,165,12,20,48,87,8,18,58,113,0,4,0
20,34,49,248,15,42,53,282,9,37,59,282,13,6,3
11,11,18,25,17,20,39,72,23,24,47,37,0,12,13
13,19,39,32,14,25,33,40,11,15,41,129,13,9,10
7,8,28,7,12,13,27,4,5,7,16,41,3,8,3
23,23,60,47,31,32,59,38,12,13,50,28,10,18,6
15,15,32,18,8,35,51,135,11,40,52,153,6,8,10
10,24,40,0,1,15,22,0,1,23,31,12,4,1,0
17,29,68,196,14,17,53,25,26,35,84,137,10,11,23
2,22,37,201,5,5,35,50,18,19,73,0,2,3,11
25,25,54,13,14,14,53,26,27,27,70,3,18,8,17
0,1,5,61,4,7,23,74,3,23,37,0,0,2,1
26,26,54,0,42,42,91,0,31,33,77,39,9,19,18
33,47,73,113,34,36,62,49,12,15,22,105,12,11,6
26,26,68,0,32,32,82,0,23,23,67,4,21,29,19
9,13,33,89,9,16,23,5,9,10,17,92,4,8,5
25,25,95,0,40,40,131,0,13,30,80,0,15,31,10
14,30,53,29,10,17,49,0,13,31,40,59,14,9,13
21,26,42,38,12,28,42,136,14,45,56,243,19,7,14
19,19,41,0,30,30,61,0,26,26,72,0,5,11,7
8,8,15,61,13,14,23,6,17,17,34,26,5,4,14
17,24,40,0,26,50,55,169,33,57,68,0,9,16,22
17,43,77,0,9,30,60,0,4,18,24,0,10,9,4
