"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
8,19,60,141,7,27,53,163,4,13,24,141,7,7,3
7,18,30,2,6,8,24,0,16,30,45,0,5,1,6
23,23,48,0,22,33,62,22,10,21,30,0,4,9,4
13,23,37,0,14,14,25,17,8,12,26,0,2,6,4
6,7,28,0,23,23,56,0,14,14,52,0,4,20,8
36,44,62,162,19,21,37,14,26,27,69,0,30,12,18
18,28,62,1,8,41,62,1,7,7,21,15,10,7,5
31,35,62,41,29,30,66,16,44,46,111,12,22,16,29
12,32,40,202,4,22,40,191,11,35,44,217,1,2,1
16,16,52,0,9,9,41,0,13,13,47,16,10,4,10
12,12,30,81,20,20,53,30,14,18,54,66,7,12,12
23,27,56,0,16,17,29,8,3,3,11,0,23,15,3
25,52,71,269,14,14,35,15,11,11,21,72,21,7,4
7,7,17,0,10,10,32,0,10,12,39,45,1,3,7
37,38,87,0,57,58,105,0,41,41,94,0,27,43,30
18,20,41,12,12,48,66,152,21,29,45,55,11,10,15
21,21,78,0,17,17,48,0,25,27,59,5,15,4,16
13,13,39,0,13,13,45,0,10,10,42,0,13,12,10
8,12,28,55,3,8,15,0,4,36,53,256,6,3,4
3,5,9,135,12,18,30,155,29,36,55,152,2,11,25
24,24,62,30,25,26,92,18,47,51,101,32,11,10,32
17,26,67,11,4,10,24,0,2,7,14,4,9,3,2
7,8,29,0,6,11,29,0,19,35,79,0,5,3,10
4,12,21,147,10,19,28,126,9,27,38,215,1,8,4
20,20,30,40,11,11,22,107,18,19,36,24,16,10,16
8,9,26,60,13,13,36,0,13,13,47,5,4,10,8
9,9,16,11,10,22,37,85,5,5,16,0,5,8,1
18,23,58,22,12,27,37,163,15,21,46,54,15,11,14
8,16,23,5,12,12,28,0,20,23,48,0,4,8,12
15,15,44,7,13,58,87,65,16,24,64,60,5,10,7
14,14,36,32,24,32,48,103,21,24,41,41,7,13,14
37,42,62,21,9,9,23,0,31,34,79,0,24,4,19
11,22,31,0,36,55,73,230,24,35,62,109,5,23,13
25,26,73,0,24,25,66,0,24,24,66,0,15,18,18
24,60,77,157,26,36,67,26,36,57,88,157,16,20,26
16,45,55,0,4,9,37,37,11,11,31,0,12,4,10
16,19,45,19,19,27,54,89,34,55,95,48,6,12,21
17,20,42,100,37,38,72,19,32,34,74,67,15,30,25
22,22,56,10,24,26,55,3,24,27,54,93,8,15,15
21,30,54,35,31,34,65,0,23,25,63,2,18,22,17
15,15,57,0,28,28,71,0,25,26,62,1,8,18,14
3,7,13,0,1,16,23,0,19,20,40,0,1,1,11
22,29,51,10,30,38,72,23,50,77,120,22,20,25,42
7,18,22,130,6,13,38,0,9,22,39,68,0,3,3
18,18,48,17,20,20,66,0,25,30,67,0,4,4,11
24,25,83,0,23,29,72,0,28,29,70,0,16,17,22
13,13,35,0,8,22,51,0,15,21,50,40,4,4,7
18,28,71,0,41,49,84,113,34,76,88,240,11,35,23
22,67,87,247,19,62,76,219,15,43,68,227,21,16,15
12,12,30,0,13,23,49,0,24,72,97,158,2,6,20
16,27,46,0,15,20,51,0,20,21,52,3,5,9,15
36,36,53,0,12,34,45,134,32,37,52,83,21,7,21
22,28,42,0,13,17,26,0,1,4,6,36,2,2,0
23,26,54,129,36,51,67,120,35,47,73,161,18,25,31
5,16,22,112,12,12,30,14,17,35,55,64,2,2,8
13,13,30,41,17,18,35,24,1,3,9,62,7,10,1
14,16,45,46,13,15,46,40,15,16,54,24,12,12,15
22,25,53,22,9,20,27,70,16,20,38,82,8,5,7
33,33,54,0,35,35,62,0,38,45,85,9,32,34,36
5,7,9,5,19,38,55,159,0,3,4,0,4,17,0
7,16,21,226,5,11,12,273,4,10,13,280,5,3,0
10,32,40,190,16,23,55,96,21,76,87,278,9,11,20
22,34,66,1,19,19,58,0,23,23,62,0,5,11,15
22,27,44,12,21,24,45,109,14,14,27,0,19,15,13
3,3,19,90,22,80,117,265,13,50,71,238,2,21,10
8,9,47,0,15,24,62,13,28,41,77,0,2,1,10
11,73,93,135,18,42,63,106,11,27,48,142,11,15,6
12,32,51,1,11,38,47,8,20,27,39,105,4,6,5
21,22,59,0,26,26,83,0,35,35,85,0,15,24,31
8,12,23,3,14,21,41,237,6,8,10,0,5,10,3
6,17,23,2,3,34,46,37,10,13,33,29,4,3,9
15,19,30,118,21,26,48,79,24,26,73,24,9,10,15
15,16,34,59,29,29,61,14,50,50,82,0,6,13,35
10,40,54,194,37,62,104,117,15,49,70,205,3,32,12
33,33,95,0,21,23,51,1,6,9,22,74,25,14,3
33,35,58,143,28,32,49,99,26,26,38,76,23,18,14
7,14,32,0,12,22,32,85,21,23,39,13,3,6,18
17,18,28,104,14,17,34,110,25,38,45,253,10,12,24
14,16,26,74,5,19,33,108,6,49,57,238,4,3,4
33,33,62,0,32,32,99,0,33,33,84,0,26,22,23
3,3,11,0,16,16,33,0,18,19,36,0,3,13,14
13,13,44,0,11,11,50,0,19,19,40,0,10,3,8
17,25,65,70,27,40,86,43,36,36,81,0,16,20,30
9,9,32,0,20,21,39,0,14,14,31,1,5,18,14
10,12,38,46,10,14,41,1,14,18,35,0,2,6,7
22,22,54,1,19,19,47,29,24,31,57,117,10,12,17
10,20,30,261,20,43,53,285,9,29,40,258,7,8,7
5,43,50,198,16,16,39,7,5,10,17,133,3,12,3
6,6,22,20,17,19,29,156,8,8,21,0,4,17,6
6,35,43,229,9,12,22,156,8,20,28,148,6,8,8
5,19,27,26,11,12,41,10,12,18,42,21,2,8,7
21,33,53,156,16,36,50,200,20,33,51,32,10,6,11
19,19,52,0,12,27,53,0,20,21,64,0,9,5,19
15,15,32,0,18,18,25,0,15,15,46,0,4,10,9
19,30,33,266,12,16,30,116,15,19,34,109,19,10,13
14,14,25,0,12,18,27,80,12,12,23,18,2,4,2
27,27,48,90,30,33,58,161,47,49,92,150,19,20,31
19,19,54,0,31,31,72,0,19,21,55,29,10,15,12
7,26,34,83,31,55,90,79,13,34,68,0,6,13,2
10,21,52,0,23,23,81,0,23,29,91,0,3,9,16
29,32,42,23,45,45,71,0,48,48,72,0,20,35,22
26,36,50,75,24,33,52,42,25,35,74,31,2,6,6
8,10,27,46,19,20,37,51,14,17,41,62,7,17,11
23,43,68,203,23,59,85,87,37,60,93,69,1,8,19
16,44,58,124,19,35,55,75,33,80,94,266,8,10,24
35,50,76,1,15,29,76,4,18,21,76,0,9,5,6
27,45,75,55,29,31,63,7,23,27,44,100,20,15,9
24,37,50,258,29,38,76,145,37,42,74,85,13,14,22
16,23,45,88,21,27,44,149,36,59,73,222,15,13,34
17,17,51,0,10,10,43,0,14,16,50,0,5,4,4
25,26,80,7,30,30,76,9,50,50,118,2,9,13,25
2,2,17,0,7,15,19,27,1,14,20,0,0,6,1
8,23,44,118,10,36,43,131,14,16,31,84,4,9,14
9,17,26,214,21,21,77,0,21,23,69,46,7,17,15
14,23,38,17,6,13,18,171,11,19,46,50,6,2,5
21,31,40,0,17,30,47,0,16,33,49,35,6,11,8
9,11,21,21,9,23,37,179,35,43,77,112,6,6,26
24,26,55,77,25,25,59,0,23,23,63,0,10,12,20
22,30,49,117,28,36,54,139,30,30,59,97,7,15,20
17,28,40,64,13,15,36,10,0,1,1,131,8,6,0
15,23,46,80,26,33,63,121,2,12,19,1,8,11,1
7,7,27,0,19,19,31,0,13,13,35,0,4,11,9
21,22,74,50,28,29,110,0,10,14,37,7,13,23,5
6,20,28,37,8,51,59,196,4,24,29,0,4,7,3
21,21,47,5,22,23,42,0,33,35,55,2,10,8,18
8,8,32,0,10,11,35,7,35,43,83,0,6,8,29
33,33,64,1,32,37,62,32,27,30,50,40,12,20,18
27,27,56,0,6,12,37,86,23,40,79,196,11,3,20
11,19,33,0,19,27,62,0,21,23,60,0,3,14,15
2,2,12,0,2,2,24,0,6,6,52,26,1,2,6
12,18,63,39,15,32,48,106,11,20,44,17,2,12,4
14,14,37,0,8,17,38,0,26,26,55,0,3,2,10
10,13,32,76,13,14,52,65,9,10,53,25,10,13,7
12,12,35,0,17,18,33,12,15,15,45,0,10,15,14
8,9,21,0,10,17,26,0,25,28,42,0,5,7,16
8,30,46,215,13,39,60,149,3,44,73,274,5,11,3
30,34,74,31,51,58,115,41,16,30,54,165,19,45,15
26,26,80,0,19,23,48,7,7,16,30,19,16,14,6
17,28,50,177,10,17,27,229,7,7,30,120,11,5,3
6,14,18,6,5,15,25,0,2,6,18,25,1,2,0
9,10,35,18,16,17,36,117,27,33,52,137,7,4,8
9,10,30,68,11,24,43,183,9,17,43,58,2,7,4
16,18,47,0,34,39,79,3,30,31,89,11,9,16,18
14,14,30,0,24,25,63,27,38,40,99,12,9,20,32
39,42,105,19,33,42,92,70,59,64,145,6,27,17,42
29,34,58,73,7,11,13,29,9,10,28,0,16,3,8
36,36,95,0,7,31,45,178,38,45,92,73,17,4,24
10,22,26,20,12,15,36,22,6,15,28,70,1,7,5
16,16,26,0,11,11,34,0,12,12,41,0,6,1,3
17,18,35,20,4,5,7,0,1,7,11,0,7,2,0
8,16,30,127,12,34,57,103,17,17,48,0,3,8,16
15,20,38,32,0,10,16,36,5,14,32,29,13,0,4
19,21,63,1,16,23,73,51,19,33,61,177,5,7,13
16,20,51,22,9,9,37,63,8,13,43,78,13,6,7
5,20,32,2,10,17,42,5,7,7,28,0,0,3,4
15,15,40,0,11,13,41,49,14,21,35,105,4,6,6
10,32,47,254,5,25,33,216,5,26,39,274,7,4,1
13,37,56,94,37,98,131,227,21,42,62,92,6,33,14
11,21,55,71,15,27,54,89,10,16,29,157,10,11,7
1,2,13,38,2,8,14,2,7,10,26,5,1,2,6
7,15,24,172,5,26,30,265,6,11,22,163,4,3,3
13,14,34,129,7,14,29,12,8,16,31,193,6,4,2
33,44,64,117,14,18,48,94,23,27,39,170,30,11,20
19,19,39,42,26,26,46,24,24,24,48,0,4,10,10
11,11,31,0,3,3,13,63,7,8,17,0,4,3,4
8,30,48,0,14,30,54,0,19,40,70,0,5,10,14
15,15,25,0,12,13,25,19,19,20,47,0,2,3,9
11,13,34,57,29,36,66,81,47,50,75,101,6,18,26
67,70,156,13,52,52,120,3,50,50,128,1,56,32,38
15,16,25,48,11,13,30,71,7,13,21,41,7,4,3
14,36,48,0,4,46,61,0,4,44,51,24,0,1,0
19,22,56,11,46,50,85,68,46,50,85,71,8,32,35
22,23,38,98,6,6,9,0,6,6,15,0,13,3,6
16,32,48,106,9,14,57,0,22,23,70,0,11,3,16
24,25,37,83,3,10,13,22,4,7,11,19,19,0,3
7,12,28,0,6,10,35,0,6,21,37,0,0,0,1
11,15,24,30,4,5,16,6,6,9,12,91,4,1,2
23,23,47,68,7,10,20,170,21,26,50,87,5,1,11
28,31,79,16,25,25,78,0,21,23,52,11,19,18,17
13,14,41,97,16,16,62,15,27,27,98,0,8,10,15
8,8,20,0,10,15,31,180,2,4,8,24,2,5,0
31,31,77,0,21,21,66,0,9,16,32,52,22,10,7
17,32,50,163,13,25,47,152,26,33,64,109,7,5,10
22,22,69,1,22,22,76,0,25,25,87,0,8,13,18
24,25,54,140,8,12,23,132,13,13,71,14,15,7,8
17,21,59,97,14,32,59,127,23,25,49,66,7,12,16
5,5,16,58,3,3,13,31,4,9,21,89,2,2,0
14,57,65,244,3,24,29,201,4,17,22,150,6,2,0
12,28,54,179,16,24,48,131,19,37,76,129,7,10,13
9,22,30,17,12,32,44,140,15,29,40,74,3,6,12
10,10,21,25,7,11,24,143,5,8,25,151,6,4,4
2,9,15,0,9,23,34,0,5,12,32,0,1,2,1
11,11,29,0,9,10,34,7,11,11,41,1,9,8,7
16,24,53,45,9,31,45,253,14,29,59,106,16,7,13
2,8,24,0,15,15,49,0,17,17,63,0,2,10,10
7,7,32,0,4,7,37,26,7,19,37,147,1,1,5
39,43,83,2,36,39,88,0,30,30,91,0,25,28,22
17,24,35,34,6,8,19,0,24,26,57,9,15,4,24
3,10,22,101,6,7,15,12,27,29,50,50,0,2,18
10,10,44,0,13,17,37,115,6,6,47,0,4,9,2
5,10,25,143,9,11,27,120,20,22,40,122,5,8,17
2,2,5,114,0,0,4,36,2,2,5,19,2,0,2
14,14,38,0,10,11,26,0,1,1,10,0,8,3,0
4,14,25,199,11,11,32,0,20,28,52,45,4,6,19
11,17,26,8,12,15,35,0,15,16,43,0,0,3,2
24,32,52,171,15,16,35,71,4,14,29,31,22,11,3
15,15,35,0,40,40,77,0,27,31,53,49,8,21,16
9,29,37,124,12,39,56,119,34,47,68,29,5,10,32
27,31,51,72,11,16,28,62,25,26,60,0,13,9,17
11,24,37,248,21,45,65,143,17,58,69,205,10,18,17
7,12,34,156,13,26,46,96,1,10,13,15,2,5,1
6,7,21,77,20,21,31,88,14,17,29,124,4,13,12
11,15,39,106,10,15,32,130,7,15,34,148,7,8,4
11,19,28,177,7,21,34,166,9,9,26,113,4,1,1
17,19,46,30,8,20,23,275,21,30,39,250,11,5,15
18,22,43,37,20,23,40,133,22,28,51,80,4,7,9
30,61,100,59,8,25,39,88,27,34,61,54,18,1,9
21,30,55,111,11,47,65,195,4,26,57,120,13,4,4
14,14,35,0,27,29,49,40,22,22,56,0,4,23,12
9,10,50,0,23,39,73,153,18,18,60,0,2,6,12
24,35,66,113,27,55,88,164,21,39,77,149,7,13,9
4,4,22,0,9,9,28,0,10,10,20,0,0,2,7
17,17,38,0,13,13,47,0,17,20,44,76,4,4,4
10,13,33,68,8,15,31,74,7,18,27,191,7,7,6
13,17,41,35,14,14,39,0,20,21,55,9,6,2,13
7,39,57,267,11,14,35,108,6,11,21,86,7,10,4
10,12,32,24,12,12,31,0,8,8,17,0,7,10,4
8,32,39,19,11,35,57,0,25,46,82,26,3,5,18
23,23,58,0,25,25,56,12,16,16,38,79,9,9,9
15,15,40,0,19,19,45,0,12,12,37,0,9,6,9
3,5,11,147,5,12,15,178,2,2,2,98,0,2,2
2,20,28,124,0,13,25,251,6,22,37,174,0,0,2
2,12,16,267,3,18,24,203,2,30,35,262,2,3,2
23,35,64,3,18,25,51,0,2,11,18,0,23,17,2
16,36,56,251,43,54,96,128,85,95,178,44,13,38,81
14,14,24,51,2,12,16,98,17,17,40,8,8,2,14
4,30,38,194,0,5,13,40,1,7,10,10,2,0,0
21,26,69,79,25,30,50,58,10,20,40,140,17,16,6
12,13,32,0,17,17,47,0,32,38,95,58,4,10,29
37,60,83,90,19,19,39,0,28,28,44,0,22,7,12
9,10,41,0,8,8,33,0,5,5,39,0,4,4,3
14,17,71,3,20,21,76,0,18,25,63,0,10,11,8
8,16,31,10,11,13,31,36,27,29,50,73,2,4,15
19,30,59,142,14,51,68,281,17,58,74,220,14,13,16
3,13,24,0,8,26,44,8,9,9,38,0,2,5,5
17,18,39,1,20,20,52,0,33,34,83,10,6,14,28
22,42,62,247,5,29,41,262,11,12,24,113,14,5,9
17,26,57,1,24,29,56,26,22,29,55,31,15,14,20
9,12,36,85,24,36,46,54,19,24,44,79,6,21,16
11,13,44,32,17,18,42,11,9,18,34,62,0,5,3
9,14,34,48,9,18,41,97,6,17,36,87,3,6,3
14,26,55,92,25,42,76,103,15,24,46,177,10,24,12
14,15,51,9,17,17,59,8,24,24,58,1,6,9,16
26,29,67,12,22,33,57,57,9,26,55,154,8,13,6
8,14,30,196,15,18,42,224,4,11,22,250,4,10,2
13,24,34,61,15,34,37,66,5,23,31,178,5,10,3
24,26,44,14,18,21,47,11,11,16,37,8,8,5,2
24,32,50,199,7,22,35,143,17,23,42,84,18,3,8
14,15,24,0,21,22,44,0,23,23,60,0,12,18,20
12,31,50,213,17,42,47,287,13,32,40,266,9,16,13
5,5,93,0,4,4,76,0,8,8,82,0,5,2,6
4,9,19,118,7,27,36,166,4,19,27,142,3,4,2
10,27,36,0,27,28,50,43,30,36,47,79,9,19,23
30,31,79,0,19,19,54,0,10,10,34,0,11,8,7
24,25,57,21,27,29,46,125,19,20,46,0,16,20,16
23,23,55,0,18,20,64,0,14,16,44,1,16,10,13
11,13,23,27,6,11,22,0,14,21,31,58,5,4,6
12,13,44,24,18,18,39,6,22,22,56,0,0,6,8
6,7,12,13,3,17,21,274,0,3,7,137,1,3,0
21,21,41,0,17,24,63,38,18,18,40,0,12,6,5
6,66,73,219,8,56,73,224,19,84,110,262,6,8,18
10,39,47,285,17,56,76,220,14,60,72,277,6,8,12
2,4,8,152,9,26,27,168,37,40,66,83,1,3,27
11,42,56,163,15,40,57,263,32,74,83,254,2,9,17
18,18,44,21,13,13,32,39,10,18,34,142,13,9,10
6,21,31,289,2,11,18,107,0,28,35,167,5,1,0
11,14,56,47,11,56,73,241,16,17,71,54,8,10,10
27,35,64,48,12,39,48,161,14,46,65,172,15,10,9
13,56,74,257,9,51,69,207,11,46,65,169,12,9,6
9,16,24,75,1,5,7,195,1,2,6,275,5,0,1
14,22,39,31,25,32,61,62,31,36,77,36,10,15,26
18,23,78,17,22,23,63,7,24,26,64,25,10,14,9
11,50,60,130,9,16,24,81,21,40,51,53,8,7,21
10,15,29,21,9,16,38,50,35,45,73,56,1,2,12
11,13,41,64,8,11,24,159,11,18,20,178,7,5,6
11,11,40,0,12,12,36,0,8,10,39,0,6,6,7
30,33,76,5,16,18,44,13,1,1,4,0,15,7,1
11,18,25,154,14,32,42,110,5,70,81,256,7,7,3
0,25,31,204,2,19,26,166,2,22,32,211,0,1,2
24,34,53,95,19,28,52,0,43,43,86,2,16,8,22
20,20,36,0,31,33,55,0,33,57,91,105,4,10,17
11,50,60,39,15,34,54,90,15,17,61,11,6,5,5
26,39,58,16,39,53,81,146,28,28,63,0,15,35,26
11,26,41,161,13,17,41,19,24,32,78,21,7,8,14
14,14,59,0,13,50,76,55,10,23,59,43,0,6,2
28,52,95,87,31,34,99,0,27,30,90,32,25,26,26
41,53,69,162,25,45,55,213,24,30,43,132,21,17,11
25,26,49,20,42,46,78,70,36,39,86,8,17,34,29
8,8,42,51,13,13,50,0,12,18,42,101,3,10,11
15,15,50,0,29,29,81,0,29,33,80,18,8,18,25
21,36,47,162,22,27,31,181,16,16,25,0,3,19,11
15,19,48,62,11,12,42,33,17,20,56,54,8,8,12
6,13,22,7,11,18,29,30,15,16,35,0,3,3,10
15,24,52,0,10,33,46,226,18,19,44,111,9,8,16
10,13,42,40,24,25,52,22,14,22,39,103,5,16,10
25,26,43,76,5,5,28,62,10,10,27,67,10,2,4
10,11,25,101,7,19,32,146,5,26,31,231,0,4,4
7,13,28,103,3,6,13,66,25,38,61,75,6,2,21
7,28,41,220,19,21,37,11,6,7,13,0,3,5,1
30,32,57,6,14,20,40,7,4,14,22,0,18,7,1
18,19,28,86,27,28,46,10,34,35,65,19,8,15,29
35,39,54,95,36,36,65,16,46,68,85,100,29,28,37
17,20,57,26,21,21,56,3,42,54,87,127,5,8,23
8,8,14,4,13,33,50,22,7,15,20,245,4,12,5
9,15,32,5,15,15,51,0,20,22,54,0,4,7,10
35,45,91,1,38,52,105,25,46,67,113,18,22,27,38
14,21,29,96,10,11,20,76,26,47,61,225,7,9,23
12,12,46,6,19,19,61,0,22,23,74,1,4,11,14
25,30,59,147,24,27,50,86,23,26,49,116,19,14,11
5,15,17,12,6,21,24,70,13,19,28,109,4,4,9
14,14,34,0,22,22,50,0,12,12,47,0,10,18,7
23,23,51,2,31,33,63,0,35,36,65,0,16,17,18
24,30,54,35,20,28,44,101,17,27,42,159,18,18,17
9,12,16,25,31,33,59,30,20,21,44,10,1,19,14
7,37,52,199,5,58,73,208,16,35,42,168,5,3,7
5,22,30,232,15,24,57,92,19,21,58,5,3,9,8
21,26,49,45,32,43,59,50,17,27,33,38,12,18,4
14,16,51,30,23,23,58,7,9,9,51,43,9,14,4
18,18,37,0,30,36,58,75,35,41,66,101,3,12,21
18,27,67,27,25,35,73,39,23,37,69,59,14,15,16
17,23,46,54,1,40,51,0,2,3,10,0,11,0,2
13,29,68,85,25,35,65,40,7,19,36,99,9,20,5
9,22,30,152,22,28,50,45,4,11,20,0,8,21,4
16,30,39,172,10,15,43,86,9,10,28,0,7,5,6
17,17,54,6,23,23,57,0,17,29,52,1,8,9,12
17,33,49,45,15,33,61,26,13,24,48,25,8,7,5
22,22,55,0,20,26,52,6,23,30,54,21,11,14,15
37,37,97,0,23,25,59,95,17,28,43,206,34,21,6
29,29,93,0,11,15,41,0,22,28,59,2,24,9,18
10,24,61,0,22,32,70,92,14,26,40,20,7,18,12
13,13,45,0,21,21,58,0,18,18,53,0,3,10,8
8,37,45,205,10,61,81,288,7,19,21,248,7,9,7
6,9,26,0,9,12,29,2,8,11,24,7,3,4,7
22,22,67,0,22,22,58,0,11,35,53,165,14,13,6
14,20,43,42,22,43,58,237,3,3,11,0,3,18,0
36,73,98,115,40,75,93,261,28,45,64,146,22,27,24
10,31,48,149,10,12,37,57,28,28,63,1,7,6,22
22,26,54,21,38,39,83,31,21,30,50,170,11,27,17
15,25,35,80,12,37,46,206,5,26,40,100,10,11,5
37,37,81,3,25,25,65,6,7,7,19,12,32,21,6
0,5,5,0,3,17,22,14,10,48,67,141,0,3,10
22,29,37,124,32,49,69,188,18,34,48,205,11,22,13
9,13,34,100,11,11,49,54,11,16,30,98,4,6,10
17,17,46,0,13,20,38,38,15,15,32,75,13,9,8
3,3,24,0,11,11,38,18,3,3,10,90,1,4,1
25,34,50,14,41,45,80,30,11,11,19,1,9,19,2
7,14,16,177,40,66,75,63,14,40,51,20,2,38,11
31,32,65,94,4,10,23,187,12,13,36,61,22,4,9
35,35,64,2,16,25,30,232,6,6,17,3,23,12,5
11,13,50,3,7,13,22,18,3,10,21,13,8,3,2
20,22,61,11,21,21,40,0,12,12,41,0,14,7,3
12,12,26,0,9,12,25,5,19,24,35,10,7,5,7
6,6,36,0,16,16,36,0,20,20,49,0,6,13,17
9,16,39,41,14,39,56,122,28,51,70,232,7,10,26
24,28,70,0,13,18,61,19,29,36,83,16,14,8,23
19,19,37,0,24,24,44,27,14,19,33,156,2,6,8
4,6,17,9,9,11,21,24,7,28,32,30,2,5,6
9,15,39,42,8,9,45,30,6,8,34,129,7,4,6
9,9,29,0,11,13,36,0,21,21,43,1,4,3,11
18,19,46,0,16,17,45,0,20,22,44,61,9,11,10
16,22,38,9,26,26,45,28,7,7,16,20,9,23,7
16,22,56,4,19,30,59,7,10,12,37,4,9,14,8
20,20,44,38,27,32,49,60,27,28,60,9,11,11,17
18,18,46,0,18,18,28,91,10,14,27,81,4,6,6
12,36,63,202,20,33,68,142,12,16,44,55,5,10,7
11,35,47,0,25,32,63,0,20,42,54,0,3,17,13
8,8,29,0,7,9,28,23,13,15,32,39,2,1,6
24,25,57,2,29,31,81,28,39,39,99,33,7,19,28
10,41,53,169,23,23,39,0,24,26,40,25,5,12,17
18,18,39,0,24,24,56,0,27,27,60,14,0,4,8
20,20,48,0,15,25,50,136,24,34,57,54,7,9,8
41,41,77,5,16,20,39,83,15,30,39,83,27,8,10
12,22,35,62,11,31,45,174,15,26,35,3,8,11,14
37,38,78,97,25,36,50,262,10,14,25,204,30,21,7
11,12,17,0,7,25,33,0,53,61,88,14,4,4,46
30,30,94,0,37,37,99,3,36,37,110,16,5,18,21
18,28,59,74,4,10,20,213,12,18,46,32,11,1,9
8,32,41,6,10,50,68,78,9,60,63,207,3,2,9
12,16,38,29,25,29,58,33,22,27,52,32,7,15,16
12,26,39,221,13,47,59,168,23,53,65,261,7,6,15
5,5,16,0,7,7,13,8,18,30,38,145,1,3,12
16,66,81,196,19,55,66,212,12,72,82,250,15,19,11
15,21,36,70,16,19,34,98,26,39,52,39,9,10,21
25,27,38,11,30,32,41,49,20,21,37,54,15,22,16
10,29,45,146,27,35,54,113,40,62,93,76,7,23,37
24,24,44,0,41,41,63,0,49,49,89,0,6,15,17
14,24,38,90,12,37,55,144,32,72,92,191,5,0,23
19,21,57,15,13,13,27,0,10,10,31,0,17,12,8
11,26,31,279,10,52,57,275,7,19,25,261,10,10,5
20,41,53,111,19,34,48,61,22,32,58,107,4,11,16
7,8,14,0,5,5,16,21,8,16,25,159,3,1,8
15,20,50,0,25,27,83,0,25,31,69,0,9,10,18
38,43,73,11,36,38,61,9,29,54,83,10,15,8,19
14,16,74,11,11,14,16,201,3,10,20,197,0,2,1
6,7,29,5,10,10,34,7,5,6,23,26,3,9,3
18,18,37,2,16,16,36,7,44,58,90,74,6,7,40
27,41,66,128,14,37,52,122,12,19,49,57,13,9,7
24,24,51,7,18,20,37,8,12,24,36,10,22,16,12
16,18,47,0,24,28,63,17,31,37,78,106,14,14,15
3,3,12,0,9,24,42,124,11,40,57,105,0,5,6
20,27,50,71,20,24,34,150,17,18,38,59,6,9,10
9,13,34,0,11,15,44,0,5,11,24,0,4,7,1
10,19,40,65,10,21,34,237,4,16,27,2,1,8,3
10,10,48,0,13,57,70,0,8,42,54,0,6,5,6
0,1,3,0,5,8,17,17,5,7,11,2,0,4,5
18,18,48,0,7,17,30,140,16,25,45,69,10,4,15
9,11,18,12,18,18,34,0,18,29,55,38,3,4,10
5,6,9,0,10,10,19,0,18,18,31,19,1,8,14
20,28,59,25,28,32,70,6,15,22,47,13,14,16,12
25,55,74,212,12,19,36,117,26,41,66,144,24,9,23
34,34,63,6,34,53,74,89,25,45,77,173,17,28,13
11,11,27,68,8,9,28,38,9,9,23,19,6,3,5
8,15,28,0,13,25,33,0,5,9,17,0,4,8,4
9,9,17,127,19,20,42,0,3,12,20,185,5,15,1
17,19,41,0,34,34,77,0,27,27,68,2,6,21,11
16,16,52,0,23,24,61,4,27,27,71,5,6,8,17
12,12,43,56,24,30,65,92,11,14,46,119,8,15,8
12,15,36,25,11,18,44,52,61,78,117,145,6,4,58
18,18,50,0,18,18,52,6,12,17,54,40,11,10,5
11,53,71,225,20,42,56,160,28,71,89,283,9,19,15
7,12,17,0,6,11,28,52,9,15,38,90,3,1,3
9,20,65,101,11,42,58,241,20,50,89,169,7,9,20
18,18,45,3,11,12,47,55,23,25,44,6,15,8,22
2,8,15,144,11,15,27,81,7,16,35,70,0,3,4
12,12,37,0,17,17,49,0,19,19,60,0,8,10,14
15,22,36,121,11,35,44,223,4,20,24,0,4,10,3
13,15,25,18,22,23,49,12,17,29,49,0,3,10,14
22,25,40,0,12,14,37,0,3,15,27,250,4,5,2
27,29,62,0,34,34,98,3,17,17,66,17,17,28,14
28,37,68,96,24,27,60,34,18,24,52,50,22,16,9
13,13,56,9,23,31,78,48,26,56,91,148,9,23,23
9,10,29,0,20,20,46,0,17,20,41,2,5,18,10
1,1,8,0,6,6,20,0,14,54,67,162,0,2,13
17,20,30,30,10,17,34,26,12,33,44,156,9,6,7
17,24,44,23,3,6,14,0,0,3,4,0,11,2,0
6,26,33,143,27,27,51,0,29,33,56,40,1,9,18
18,36,70,56,32,54,99,76,34,46,95,4,11,25,24
19,19,48,9,10,10,44,0,20,20,70,0,17,6,12
18,53,69,64,14,30,57,141,36,49,78,40,16,13,30
1,21,22,272,1,29,40,243,1,26,33,211,0,0,0
10,12,47,0,36,37,92,0,9,30,50,0,7,25,2
8,27,41,23,19,30,52,131,23,33,72,6,6,12,15
5,11,16,22,17,28,35,188,22,34,52,61,3,9,14
24,24,73,0,35,35,80,0,25,26,70,0,10,15,7
4,22,25,78,11,23,31,28,4,8,14,39,3,11,2
10,20,27,277,10,26,36,279,6,39,52,279,7,9,6
30,39,54,100,32,36,60,48,25,37,60,116,19,23,23
26,30,61,5,30,31,81,10,24,30,53,146,13,20,15
16,17,43,0,13,29,34,157,24,36,53,102,11,6,13
