"winner","red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3","blue_sig_str_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","blue_ctrl_time_rnd_1","blue_sig_str_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","blue_ctrl_time_rnd_2","blue_sig_str_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","blue_ctrl_time_rnd_3","blue_sig_str_head_rnd_1","blue_sig_str_head_rnd_2","blue_sig_str_head_rnd_3"
"blue",13,21,35,69,14,18,42,51,14,16,29,126,6,4,3,8,12,26,6,17,19,34,2,16,25,55,36,2,9,12
"blue",10,35,35,238,3,7,8,125,25,28,59,0,10,2,19,1,6,6,45,16,40,44,158,34,37,72,44,0,15,17
"blue",18,24,49,0,18,32,59,0,26,29,63,0,4,4,10,30,37,58,32,48,56,79,100,47,52,82,38,12,30,28
"red",19,27,56,114,8,43,73,80,5,43,61,185,10,5,3,6,13,35,0,10,23,46,0,2,10,18,0,5,10,2
"red",26,30,67,36,29,59,86,177,18,88,108,211,6,13,7,7,7,21,0,11,19,35,3,9,9,21,0,6,7,4
"blue",6,19,38,77,4,14,28,90,8,10,58,15,3,4,6,18,35,50,170,9,34,43,169,28,49,71,144,10,6,22
"blue",10,16,32,21,1,5,10,5,17,38,48,89,6,0,16,11,43,65,121,1,34,60,280,2,7,17,160,10,1,1
"red",47,53,79,128,11,24,38,204,6,15,21,196,42,11,6,11,18,29,53,3,23,39,1,9,43,62,64,4,0,6
"red",17,44,83,124,35,36,75,21,35,36,75,121,7,10,10,12,17,33,29,12,15,45,0,12,15,45,0,2,8,8
"blue",17,22,44,0,15,15,46,0,17,22,66,2,6,5,8,38,44,68,169,36,49,82,56,42,52,90,60,28,23,30
"blue",12,21,30,204,10,21,32,55,28,43,82,75,3,7,16,8,25,36,80,12,34,46,217,28,39,62,79,3,7,16
"red",8,27,34,156,7,21,30,247,10,43,53,200,4,5,9,3,9,15,80,2,14,20,0,3,16,25,0,1,1,1
"red",41,73,120,175,41,63,100,217,38,62,98,191,29,36,29,13,17,52,0,10,10,27,0,18,18,41,0,10,4,8
"blue",10,10,30,14,11,11,35,11,23,26,54,98,8,5,19,11,12,44,2,15,15,41,0,10,10,35,4,7,10,6
"red",37,39,86,5,29,29,76,0,24,28,57,61,32,26,23,33,34,84,0,31,31,74,0,22,26,52,39,19,11,9
"red",21,23,53,32,51,51,101,15,55,56,121,0,17,43,50,24,35,87,155,42,42,124,0,56,57,163,0,15,27,45
"red",16,24,36,173,33,36,61,37,43,44,71,58,10,19,30,2,14,34,6,7,8,34,47,10,11,40,33,1,4,8
"blue",10,10,33,31,32,32,82,1,43,45,104,0,7,19,34,15,17,57,6,38,38,96,2,65,73,146,23,9,19,52
"blue",13,31,65,119,23,23,51,33,20,20,65,62,7,20,12,16,21,45,0,51,60,95,41,53,56,89,4,8,36,43
"blue",8,42,55,58,26,32,50,8,34,40,64,48,8,17,30,13,17,20,110,24,24,44,54,32,34,62,10,4,12,20
"red",17,25,38,198,38,41,57,0,38,55,70,61,14,29,32,17,28,43,0,30,31,80,58,23,28,62,55,9,19,13
"red",19,21,35,14,24,24,51,0,36,43,83,53,8,8,19,27,28,38,28,23,23,40,0,16,17,33,0,5,8,8
"blue",15,15,50,0,26,26,72,0,31,31,90,0,7,10,13,32,35,56,40,31,31,60,7,35,35,82,7,17,24,29
"red",21,30,69,117,57,58,107,5,71,71,118,17,14,48,54,29,30,60,0,51,52,103,0,37,39,90,0,20,27,22
"red",21,27,61,13,27,34,70,8,23,35,56,128,4,11,13,22,24,61,10,19,24,58,51,15,18,52,73,9,10,10
"red",24,24,56,0,33,33,81,12,16,17,48,79,16,20,9,34,34,66,0,29,29,61,0,14,18,38,19,16,12,6
"red",13,68,89,290,4,53,64,188,11,115,126,291,11,4,9,0,35,49,0,2,27,41,89,1,55,69,0,0,2,0
"red",25,25,60,0,42,42,95,0,47,47,68,0,13,32,29,28,28,76,1,33,33,71,0,14,14,32,9,11,16,8
"red",43,51,102,2,51,55,104,0,50,60,116,14,20,29,31,25,25,56,57,30,31,65,43,41,43,70,16,17,16,31
"red",31,31,68,14,34,38,82,6,51,52,113,0,18,19,29,19,19,57,9,28,32,65,12,31,34,77,5,8,17,20
"blue",32,32,48,0,45,45,94,0,66,66,121,0,15,30,48,25,25,62,0,36,36,82,8,43,43,79,0,9,20,18
"red",27,30,57,14,18,22,52,15,31,32,95,11,14,10,22,14,14,49,0,17,19,42,73,24,27,65,1,12,12,21
"red",23,23,37,0,42,42,58,5,28,29,46,43,15,35,25,16,16,40,0,16,16,51,1,9,10,36,0,13,11,7
"blue",5,38,52,0,12,32,57,31,33,44,69,16,5,12,33,10,17,23,150,11,21,42,79,14,18,40,109,8,9,10
"red",42,57,90,1,32,46,77,2,26,73,101,0,21,20,19,38,38,68,87,20,25,49,113,14,27,49,186,27,18,13
"blue",9,9,31,6,15,15,47,0,17,29,44,29,2,9,14,14,14,19,0,22,22,39,6,12,44,56,207,3,3,3
