"winner","red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3","blue_sig_str_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","blue_ctrl_time_rnd_1","blue_sig_str_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","blue_ctrl_time_rnd_2","blue_sig_str_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","blue_ctrl_time_rnd_3","blue_sig_str_head_rnd_1","blue_sig_str_head_rnd_2","blue_sig_str_head_rnd_3"
"red",24,24,65,0,23,42,66,10,23,46,76,1,15,13,11,16,16,49,0,12,18,39,115,15,35,69,80,11,8,10
"red",23,38,60,76,16,17,42,70,11,65,78,235,20,15,11,23,30,81,0,32,41,82,24,22,43,68,0,6,12,14
"red",30,72,102,264,23,26,39,209,55,72,109,176,12,0,37,6,14,31,2,19,47,74,3,8,41,71,0,4,9,6
"red",28,28,61,0,41,41,82,0,15,16,37,0,12,28,3,32,32,71,0,41,41,75,51,14,43,58,149,22,28,6
"red",17,21,35,52,21,21,39,43,27,27,46,34,11,12,23,5,7,13,115,14,18,35,21,13,34,50,77,1,12,10
"red",28,28,75,4,28,28,88,17,27,32,81,18,15,20,16,24,24,68,0,33,34,83,10,33,40,96,14,11,21,24
"red",15,30,44,187,19,24,43,106,8,9,20,125,7,10,5,7,19,27,0,16,31,62,12,24,65,83,16,2,5,13
"blue",14,19,43,28,15,20,48,41,12,19,35,19,7,6,4,25,30,60,7,29,32,65,44,30,36,61,93,14,6,11
"blue",8,13,38,44,2,10,24,72,30,34,72,12,1,1,24,14,14,29,6,14,15,18,93,20,20,40,77,4,5,9
"blue",8,21,32,18,6,27,38,0,6,11,22,0,8,3,5,3,16,25,270,9,41,57,255,5,31,48,196,3,8,3
"blue",29,29,43,20,15,15,43,21,16,19,51,88,11,2,8,9,9,32,0,26,26,54,0,15,15,37,0,6,17,15
"red",16,25,38,153,11,17,47,46,23,24,51,102,12,9,20,7,11,21,10,17,25,40,85,24,29,57,9,3,8,12
"red",21,37,67,5,23,23,48,0,17,17,47,0,12,9,10,22,25,50,80,15,15,49,2,18,18,71,8,9,7,4
"red",45,54,88,2,24,29,48,76,53,55,98,34,22,11,26,10,22,33,109,10,21,32,79,18,21,50,26,8,6,7
"blue",4,4,7,0,12,12,30,33,7,20,24,28,3,6,5,12,24,41,217,14,16,50,30,21,70,83,226,3,8,17
"blue",13,24,40,56,8,13,21,54,18,25,41,26,4,4,10,11,25,44,99,15,33,55,92,14,40,82,98,5,6,9
"blue",26,26,58,0,19,67,91,169,23,41,64,57,8,14,11,35,35,66,22,15,20,38,12,17,24,58,26,24,14,14
"blue",22,22,52,45,19,25,55,19,20,21,53,10,14,12,15,18,19,31,39,22,23,44,18,27,29,42,55,14,18,21
"red",12,15,28,110,11,26,31,204,14,26,40,226,9,8,13,14,33,52,67,5,23,39,68,4,12,28,0,6,3,4
"red",8,8,30,0,6,6,23,2,11,12,39,18,1,4,4,8,8,14,0,5,5,17,0,12,15,24,0,5,2,6
"red",54,54,103,0,49,55,94,16,49,51,75,35,33,32,38,29,29,73,0,16,21,58,66,25,25,52,68,20,12,23
"red",20,20,41,0,43,43,74,0,31,32,83,0,14,30,19,19,25,61,96,24,25,88,0,24,37,92,62,9,16,16
"red",16,16,59,0,24,29,68,90,7,41,54,238,6,19,4,21,21,98,0,25,42,87,2,6,12,23,0,12,16,4
"blue",6,18,34,47,10,22,37,73,12,27,46,33,2,4,6,13,27,39,23,9,17,27,29,14,17,49,0,7,4,6
"blue",6,20,40,107,14,37,60,71,9,19,61,34,5,12,8,13,24,48,72,32,36,61,68,38,51,96,59,11,29,32
"red",5,6,10,114,3,7,10,124,7,10,14,274,3,2,7,5,22,32,104,2,22,29,148,1,14,15,14,5,1,1
"red",27,38,88,20,42,64,84,35,60,77,129,0,14,35,43,29,29,55,14,24,30,55,77,42,47,103,7,23,20,31
"blue",4,35,44,2,7,24,28,107,0,10,17,261,1,4,0,14,35,48,248,6,15,25,150,3,42,59,0,10,4,1
"red",23,41,58,194,17,25,36,113,10,13,19,40,17,13,5,9,11,18,57,8,12,27,133,8,15,22,223,8,5,7
"red",23,39,62,49,24,36,56,98,31,31,58,7,21,22,26,17,17,30,0,12,14,28,0,10,10,32,9,2,6,9
"red",9,14,24,0,16,42,56,137,20,52,78,140,4,13,15,11,25,42,247,13,17,26,84,14,17,35,41,5,3,5
"blue",9,9,38,55,11,13,46,30,9,9,44,25,2,5,1,12,14,29,4,11,12,26,3,13,14,38,0,6,5,4
"blue",12,19,30,21,7,7,26,0,4,4,17,22,4,2,2,19,27,62,146,36,37,94,4,17,24,48,131,12,26,10
"red",16,16,37,0,17,17,46,0,21,21,49,0,2,0,4,16,19,41,29,16,16,40,0,32,32,69,0,13,11,22
"blue",4,7,11,87,2,3,6,35,1,13,14,22,0,0,1,11,24,39,198,31,59,75,254,5,15,18,257,10,31,5
"blue",8,10,42,0,9,9,39,0,6,8,36,0,7,6,6,37,37,75,14,39,39,66,0,26,26,50,40,22,27,13
"red",12,12,35,0,10,11,32,7,18,18,41,0,11,10,15,10,10,34,0,7,8,36,0,8,8,40,0,8,5,6
"blue",10,31,43,17,1,5,6,0,10,20,33,5,3,0,10,2,7,22,181,0,23,61,296,2,18,29,198,0,0,1
"red",20,32,52,83,18,19,52,40,11,15,38,223,12,11,7,17,18,36,107,14,17,44,50,2,4,15,7,15,10,1
"red",2,31,34,162,0,42,48,201,1,1,4,0,2,0,1,3,9,21,30,3,7,20,12,16,20,68,29,2,3,8
"blue",17,17,43,85,10,13,33,62,4,4,14,8,10,8,4,18,22,33,47,21,29,45,96,21,30,44,218,3,8,18
"red",9,10,40,46,17,17,47,0,14,21,42,120,2,11,10,10,12,39,10,17,17,59,0,11,12,29,0,0,5,4
"red",19,38,54,123,25,47,67,208,4,86,97,253,17,23,3,24,26,54,56,7,8,17,59,3,3,7,15,9,1,1
"red",32,33,70,0,25,25,70,2,16,16,34,0,29,22,16,13,15,52,34,8,11,50,31,14,37,61,167,11,6,9
"red",25,28,52,3,25,30,40,9,23,24,43,137,11,14,13,6,13,58,90,3,13,48,78,5,14,30,69,4,2,3
"red",21,96,120,88,10,57,74,112,27,39,59,0,4,2,7,18,25,35,51,20,24,35,40,13,13,27,11,12,14,3
"red",27,45,65,126,13,16,17,115,31,31,64,6,18,9,25,9,18,38,0,9,32,41,124,15,15,57,15,6,8,7
"red",38,57,73,277,11,35,44,240,26,55,77,257,34,4,23,5,7,9,0,16,18,27,7,2,10,20,13,2,13,2
"blue",27,27,91,0,21,21,84,0,20,20,96,2,15,7,11,38,39,77,14,35,35,61,30,35,35,76,0,24,21,21
"red",37,38,90,2,77,77,160,48,55,56,119,28,24,56,45,25,25,61,3,37,37,70,0,46,46,93,0,20,31,39
"blue",17,19,42,14,27,28,64,25,29,29,89,0,7,16,19,14,15,56,17,24,25,66,8,18,18,70,14,9,19,12
"blue",14,15,38,108,27,27,62,25,23,24,46,26,10,17,12,22,23,35,30,30,30,54,7,21,28,42,121,20,27,18
"red",17,28,43,278,25,34,50,201,33,33,73,18,8,14,7,3,7,10,0,15,16,31,0,30,31,64,0,3,9,19
"red",48,48,103,0,62,62,109,0,64,65,138,0,28,45,50,27,27,86,3,41,44,95,2,37,37,88,0,14,15,15
"blue",33,34,83,3,33,34,88,28,24,24,63,3,22,19,14,42,46,132,7,49,60,128,0,57,57,124,0,25,33,34
"red",12,22,48,106,36,37,94,5,46,46,122,0,8,25,31,12,19,35,43,25,25,51,12,34,34,65,0,7,10,27
"blue",15,24,37,97,11,11,39,4,5,10,22,121,3,8,2,15,18,30,57,9,9,30,3,6,13,24,41,7,2,2
"red",26,27,85,0,27,52,79,0,29,29,86,0,15,15,20,45,45,106,0,28,54,99,115,39,42,95,14,7,6,11
"blue",4,4,16,2,6,11,25,9,14,27,46,113,2,5,13,17,27,56,146,25,28,60,96,5,12,25,81,10,17,1
"red",19,24,43,159,7,7,23,0,14,18,27,77,14,2,6,5,5,13,5,7,7,17,2,9,11,35,2,2,3,8
"blue",16,16,38,30,13,13,38,73,10,11,27,97,11,11,8,23,23,57,2,22,22,56,13,15,15,38,46,6,16,8
"blue",2,6,11,218,3,16,24,128,1,46,48,0,0,1,1,13,51,54,55,8,21,37,151,29,79,90,272,13,8,24
"blue",12,13,24,59,4,25,31,157,10,12,27,94,11,4,8,7,19,31,122,7,32,41,19,26,39,77,31,4,2,20
"blue",8,13,17,251,3,5,14,87,4,7,12,46,5,2,3,1,8,11,6,18,39,54,118,20,32,50,158,0,11,15
"red",20,23,46,30,19,22,36,121,24,31,46,95,17,9,18,13,13,42,0,16,17,33,19,15,16,44,31,6,5,8
"red",7,8,18,136,22,34,50,226,40,43,75,54,2,19,36,16,19,28,131,7,7,16,15,54,54,124,2,12,3,45
"red",27,33,58,66,27,28,49,0,24,24,45,55,18,20,18,15,15,41,0,21,21,48,0,19,19,57,0,3,4,4
"blue",8,8,23,0,12,19,41,7,9,12,26,0,3,9,7,20,22,51,30,39,46,74,68,36,61,90,167,4,10,14
"blue",10,10,24,0,19,19,59,0,29,30,65,27,4,7,16,13,13,55,0,19,22,71,22,22,22,79,10,7,13,17
"red",20,28,44,170,18,19,34,122,28,68,82,179,17,17,25,11,42,71,67,24,46,90,78,4,20,28,48,7,6,3
"blue",23,23,69,0,21,26,63,0,20,25,56,0,20,18,18,21,21,69,0,27,41,83,65,32,51,90,177,12,17,23
"red",28,29,59,17,37,51,90,143,46,46,102,0,14,28,33,18,18,40,0,14,14,34,0,37,37,75,0,10,9,20
"red",14,16,26,82,22,26,41,33,20,23,36,82,11,10,13,16,25,51,10,25,34,79,0,24,28,64,0,1,5,10
"blue",37,37,73,0,43,43,96,0,49,52,91,97,18,26,22,41,41,81,0,48,48,95,0,45,58,106,0,24,31,27
"blue",16,20,34,36,8,12,15,0,8,11,21,0,10,5,6,25,49,80,78,7,114,122,261,23,52,72,174,19,6,18
"blue",10,14,26,0,46,46,81,5,13,16,30,0,9,37,9,18,30,55,164,38,39,82,23,16,33,44,191,9,26,9
"blue",6,6,20,0,9,10,26,36,13,13,37,2,3,3,8,14,14,42,0,14,14,46,0,31,31,106,0,5,8,18
"red",25,25,64,0,31,31,81,0,34,34,56,3,6,13,13,23,23,56,0,20,20,59,0,9,10,39,0,12,10,5
"red",20,20,32,9,10,26,31,140,11,23,31,169,16,7,9,35,40,94,19,23,35,63,47,23,32,55,18,24,13,19
"blue",7,7,20,91,5,13,31,23,3,3,11,12,4,4,3,15,17,37,105,15,19,41,150,8,20,33,227,4,5,4
"blue",17,19,50,64,16,16,34,14,15,15,55,0,11,10,9,20,21,30,23,21,30,45,102,24,24,45,5,13,17,18
"blue",28,28,75,0,29,29,68,14,49,49,113,0,12,17,28,36,36,86,0,36,44,81,20,48,48,116,16,20,18,34
"red",19,30,42,222,20,31,44,190,14,34,46,139,13,18,10,10,18,32,0,13,35,57,0,7,33,41,101,6,6,4
"blue",19,23,51,8,25,26,71,0,31,33,60,18,11,8,12,9,13,36,32,17,19,49,22,16,19,56,67,5,12,9
"red",8,26,32,157,9,28,40,44,8,43,56,126,4,7,7,7,22,26,43,7,24,35,102,3,18,28,83,3,7,3
"red",33,34,79,2,43,43,75,3,41,41,83,0,24,33,26,23,23,106,18,19,19,101,3,15,15,82,2,14,14,12
"blue",16,18,60,37,23,23,82,0,26,28,90,23,6,10,12,18,20,41,24,22,22,58,17,25,25,62,0,11,18,18
"red",6,20,23,103,4,12,15,112,4,15,15,151,3,2,2,4,14,22,86,4,35,42,21,5,11,26,0,0,3,2
"red",11,30,63,119,14,44,56,225,8,31,43,196,8,14,7,26,28,48,0,17,20,39,0,21,39,57,50,23,15,12
"red",12,16,24,144,17,45,69,219,14,50,56,213,9,17,11,4,4,12,13,2,2,3,0,0,0,2,0,4,2,0
"red",19,48,62,194,15,35,45,227,16,38,49,278,17,10,15,7,26,47,2,9,25,37,0,10,43,52,0,4,7,8
"red",11,16,26,111,7,9,19,114,7,7,25,121,10,6,6,10,25,41,18,13,20,34,0,6,12,34,0,5,8,5
"blue",3,3,14,0,2,3,16,27,11,13,42,0,2,1,9,24,24,42,0,25,29,59,68,30,30,61,0,3,13,10
"blue",5,5,31,8,9,9,27,8,10,11,43,13,1,3,5,10,11,36,0,13,13,37,0,15,15,50,0,5,4,4
"blue",11,18,36,22,10,10,37,44,14,14,51,0,8,9,10,11,13,24,165,10,16,32,51,10,20,39,91,7,6,5
"red",12,21,28,152,14,24,44,87,21,27,49,58,7,8,8,12,22,37,74,25,28,61,67,27,28,67,65,7,17,22
"blue",24,25,48,0,15,16,30,0,9,9,20,2,9,6,4,19,33,55,81,14,50,79,186,14,43,83,229,12,14,13
"red",15,25,42,85,29,57,83,114,20,78,93,265,8,21,9,17,18,30,0,11,15,30,0,2,8,13,5,3,3,0
"blue",9,26,42,19,18,31,54,66,20,48,86,91,4,13,11,25,64,80,194,12,47,65,135,10,41,57,84,7,7,5
"blue",29,31,60,20,12,23,34,3,16,23,47,32,5,5,6,18,18,62,8,22,37,50,164,24,27,55,42,7,7,11
"red",25,28,45,61,17,29,53,68,31,42,79,30,5,5,22,16,19,36,36,20,21,41,45,18,18,45,0,4,8,9
"red",20,30,38,149,50,51,94,28,48,48,81,4,16,25,17,14,26,36,87,13,14,35,13,23,23,56,0,3,5,15
"blue",13,13,33,9,15,15,37,9,24,25,57,12,3,8,17,18,18,70,0,19,19,80,0,21,21,93,0,9,14,13
"red",9,21,27,112,13,27,35,52,5,28,36,88,6,11,2,2,7,8,158,4,14,16,223,4,23,32,171,0,3,1
"blue",2,4,6,96,7,8,11,158,8,10,23,139,0,3,5,10,15,22,158,13,17,20,114,9,14,26,112,3,3,3
"blue",9,13,22,0,16,21,55,0,39,39,80,0,3,5,13,9,14,38,229,23,33,83,138,24,27,87,56,4,13,10
"red",27,58,91,187,20,35,50,228,13,57,79,79,22,14,1,13,40,58,0,5,21,35,0,8,13,47,0,8,5,6
"red",10,26,30,264,8,34,36,279,4,12,24,161,5,3,2,0,3,3,0,0,1,1,0,2,5,12,0,0,0,2
"red",14,14,28,0,28,30,52,2,31,31,59,0,4,8,13,7,7,25,0,13,13,38,0,17,17,51,0,0,7,11
"red",12,18,28,113,8,24,35,199,6,9,15,89,11,2,6,6,10,21,4,6,24,35,0,2,7,24,7,1,4,1
"red",16,21,34,134,23,26,60,22,13,19,33,132,13,19,11,13,21,40,79,14,20,47,148,7,16,22,82,2,8,5
"red",7,8,18,57,7,15,25,47,3,5,13,87,3,3,1,2,3,18,85,3,5,17,120,4,17,28,156,2,0,3
"blue",21,30,49,106,10,34,57,201,41,43,68,8,3,3,10,26,33,53,78,8,11,31,0,26,26,58,0,17,4,23
"blue",6,6,23,0,3,3,26,7,6,6,26,40,2,2,0,22,22,46,0,27,28,46,8,20,20,31,0,1,8,6
"blue",6,6,16,0,8,8,30,0,11,11,35,0,5,5,8,15,15,31,14,17,17,40,4,15,15,34,0,1,9,9
"red",5,18,26,138,23,25,38,30,3,4,5,41,0,16,1,3,6,7,87,3,3,11,37,3,18,20,139,0,1,2
"blue",12,16,45,46,12,14,37,7,11,18,30,40,6,9,9,10,10,30,0,16,16,39,0,18,21,55,0,2,5,9
"red",11,11,31,0,9,9,50,0,11,11,68,0,8,4,7,11,14,36,36,10,10,23,0,11,11,40,0,3,5,7
"red",7,11,38,57,17,17,45,2,13,13,34,0,4,13,8,8,8,32,0,12,12,37,0,10,10,36,0,0,2,3
"red",25,25,41,7,18,22,37,116,20,33,47,144,8,4,7,7,7,24,16,4,9,27,19,4,8,20,0,3,3,2
"blue",7,12,19,0,4,7,14,0,0,1,3,0,2,3,0,17,26,31,179,35,50,62,195,18,63,63,271,12,34,14
"red",26,29,56,67,43,43,78,0,38,38,66,7,15,32,34,19,19,53,62,35,36,100,0,21,22,85,4,16,24,14
"red",19,19,39,0,29,29,75,0,24,25,65,0,11,24,15,9,9,22,0,28,28,59,0,33,33,82,0,4,21,22
"blue",9,18,27,0,8,19,40,0,24,27,54,2,2,3,15,13,16,39,116,19,21,44,71,20,21,58,7,5,8,19
"red",14,32,47,98,19,19,71,0,17,19,54,34,5,12,12,5,6,18,18,10,10,45,5,4,8,25,64,3,7,3
"blue",13,18,32,20,18,18,45,0,27,28,71,0,10,12,20,29,42,65,148,40,42,78,20,29,29,96,3,9,14,12
"red",6,15,33,256,30,35,80,94,21,36,53,257,6,23,19,10,22,31,0,34,38,60,17,5,10,18,0,10,22,5
"red",26,27,69,19,26,27,52,0,18,18,42,0,18,14,10,22,22,47,18,23,24,51,27,21,21,46,0,10,15,17
"red",2,9,14,27,26,26,44,84,21,35,46,96,1,16,14,19,25,30,251,13,14,39,58,10,11,27,146,14,8,7
"blue",5,5,17,7,14,17,33,59,11,11,15,2,5,6,3,16,18,54,75,24,39,62,35,23,61,88,170,4,8,17
"blue",10,10,26,0,6,10,29,0,25,25,70,1,2,3,15,16,16,31,0,26,39,58,155,28,28,57,2,6,18,19
"red",12,13,33,20,14,14,42,24,22,22,47,38,5,6,10,13,14,38,0,10,14,38,13,18,23,57,16,7,3,7
"blue",17,17,46,0,15,63,88,0,45,45,102,0,3,8,18,17,22,55,53,7,26,43,218,43,43,84,7,6,2,13
"red",4,25,26,250,3,5,12,53,7,10,18,55,2,0,1,6,18,33,0,8,9,36,45,19,30,64,33,5,4,4
"blue",11,11,27,16,15,20,43,11,4,4,16,10,6,9,3,18,18,43,12,32,34,64,5,30,50,73,72,10,23,28
"red",9,27,43,163,9,13,23,99,12,26,41,86,7,7,8,8,11,25,3,11,16,22,25,4,5,26,0,5,4,1
"blue",7,12,20,172,2,4,14,83,6,9,13,104,6,1,4,19,27,43,59,21,31,42,58,23,47,72,112,10,9,17
"blue",13,14,39,33,17,17,57,5,13,13,53,24,10,12,10,25,28,84,13,23,23,97,0,35,40,112,0,18,13,24
"red",25,25,58,0,25,25,57,0,14,14,35,0,8,9,8,16,16,54,0,11,11,37,0,11,11,36,0,13,7,6
"blue",22,23,50,3,19,20,32,99,20,26,47,32,9,7,8,20,21,48,31,12,23,43,3,23,26,43,39,12,7,12
"blue",24,24,59,0,22,22,52,0,27,27,66,0,14,12,15,32,32,62,3,28,28,63,33,22,22,67,22,10,15,16
"red",31,31,74,0,31,31,70,0,36,36,82,0,19,19,27,19,19,35,0,33,38,68,50,24,24,45,0,9,21,17
"blue",7,11,16,87,9,14,32,49,8,11,49,34,1,2,5,21,46,57,129,48,50,82,36,32,33,67,0,0,19,17
"blue",34,34,103,14,15,20,52,4,17,17,75,18,20,7,11,44,46,88,2,35,39,60,71,32,33,68,12,19,15,13
"blue",5,20,38,2,17,23,54,15,32,43,65,0,3,11,25,32,38,49,164,23,23,45,105,16,18,36,138,11,14,14
"red",20,20,44,0,20,20,39,0,25,25,49,0,10,8,9,6,6,21,0,20,23,38,0,5,5,16,0,2,12,2
"blue",21,22,64,0,19,21,85,0,7,9,46,0,11,12,6,20,21,50,45,11,16,48,65,23,29,52,120,12,8,20
"red",39,40,109,7,41,41,94,9,40,40,106,0,19,22,28,21,21,65,0,30,31,73,0,26,26,72,0,19,27,26
"red",12,12,39,0,21,23,60,3,25,25,71,17,6,14,13,16,16,39,16,25,29,72,84,26,26,77,0,8,13,15
"blue",5,8,16,95,10,13,20,67,2,3,4,76,4,3,1,7,16,31,153,21,25,42,111,19,22,37,180,3,6,18
"red",11,28,33,62,5,34,58,155,7,13,27,5,6,4,4,4,30,47,160,11,11,32,21,17,37,64,95,3,8,12
"red",11,36,42,197,6,35,45,159,12,13,53,0,9,2,3,2,8,11,72,9,24,36,93,25,25,76,0,0,0,17
"red",29,29,53,0,45,47,67,16,9,15,23,57,11,30,4,57,57,92,21,44,44,49,35,11,16,18,162,38,34,5
"red",19,25,34,114,15,19,28,110,15,24,34,172,8,11,12,7,9,22,72,6,9,18,121,8,10,20,59,2,3,6
"blue",14,16,26,20,18,22,37,62,26,28,44,54,4,9,8,13,23,30,119,12,14,30,6,15,15,29,53,8,7,12
"red",9,13,28,147,11,12,23,77,1,12,21,186,3,4,0,16,25,39,33,19,34,50,101,14,34,47,49,7,8,6
"red",20,40,52,239,47,50,100,37,18,31,61,0,16,23,8,13,13,25,29,30,30,88,0,10,26,58,169,6,15,8
"red",19,22,59,15,16,24,32,3,28,37,56,24,12,10,20,16,16,31,111,2,2,10,213,5,6,16,198,10,2,4
"blue",11,11,41,15,23,24,84,5,29,29,80,3,6,11,22,16,16,47,30,29,29,69,0,26,26,74,27,10,26,25
"blue",12,12,30,13,11,12,24,33,10,10,25,0,7,9,7,7,7,29,4,16,21,48,17,17,17,50,2,4,6,14
"red",31,31,66,0,23,23,45,2,35,37,56,15,14,15,30,6,6,32,0,15,27,56,102,19,32,61,92,2,11,17
"red",48,50,113,90,37,37,82,23,26,31,60,178,30,29,20,26,32,73,0,27,27,73,16,18,29,60,0,17,23,13
"red",5,5,28,0,3,3,27,2,6,14,27,172,2,2,1,7,7,29,4,7,11,29,9,11,15,35,7,4,3,8
"blue",30,32,49,9,22,38,52,177,40,40,75,35,4,13,22,18,22,44,46,7,13,24,5,33,34,75,4,2,4,20
"blue",18,21,36,0,19,19,42,0,17,33,50,126,12,17,13,13,18,45,18,22,22,68,0,21,23,34,107,6,12,12
"red",28,35,58,203,14,25,37,41,14,26,49,169,25,12,9,11,14,26,4,24,34,52,202,21,23,45,34,10,23,16
"red",25,25,53,0,31,31,81,0,47,47,78,2,9,16,26,10,10,26,36,12,15,35,17,20,22,53,58,4,6,17
"blue",13,28,47,103,13,34,50,97,23,23,52,0,13,11,21,19,22,40,0,25,49,82,0,52,52,116,0,12,18,32
"blue",3,3,12,7,25,25,56,18,12,14,30,26,3,23,9,24,39,49,195,17,19,52,20,35,62,89,162,21,8,28
"blue",17,17,66,0,21,22,71,5,27,31,70,45,14,14,23,25,25,63,0,29,29,66,0,27,29,63,20,11,10,18
"red",35,36,70,36,29,37,67,0,28,29,84,0,7,10,14,8,9,24,7,36,36,63,16,21,21,47,0,6,30,18
"red",37,45,64,0,23,25,52,0,16,16,54,13,18,11,11,28,30,61,24,18,20,37,31,23,29,57,0,19,13,9
"blue",9,9,21,0,6,6,17,0,4,4,22,0,1,1,1,6,6,21,0,22,22,30,0,31,31,52,0,3,15,27
"blue",3,3,25,42,4,4,13,62,3,3,18,62,2,3,2,20,32,50,0,19,53,72,31,33,56,81,47,7,14,23
"red",5,11,25,147,10,13,39,147,17,17,62,63,3,6,9,12,21,32,9,11,14,39,14,16,18,55,2,8,10,13
"red",7,7,23,0,18,32,48,0,16,16,41,0,6,13,13,11,11,22,0,16,24,40,40,7,7,25,0,3,7,4
"blue",5,6,22,2,6,8,24,7,5,6,31,19,4,5,4,23,36,62,214,38,77,112,236,25,44,87,120,20,35,19
"blue",8,12,23,0,4,8,21,0,7,27,42,66,7,4,4,21,33,64,161,9,25,55,239,1,5,12,162,14,7,1
"blue",4,9,19,0,1,3,12,0,5,10,12,0,2,0,3,10,22,33,156,12,51,62,221,12,30,42,209,5,7,10
"blue",11,15,32,0,2,5,10,0,21,26,42,41,8,1,20,11,12,18,203,10,13,19,249,1,2,6,145,7,4,1
"blue",9,16,59,32,12,30,66,45,12,39,63,20,3,8,7,15,19,42,71,24,29,59,62,27,39,66,161,10,16,15
"blue",18,19,54,2,28,28,72,18,28,30,64,7,12,20,18,25,25,52,8,30,31,61,3,31,47,73,116,11,16,20
"blue",24,24,72,0,15,15,50,0,18,27,46,2,17,11,11,35,37,78,32,23,23,69,7,15,28,49,139,21,13,6
"red",23,23,55,0,26,26,65,0,30,37,61,162,14,17,24,11,11,50,0,33,33,80,0,30,39,81,5,8,22,22
"blue",19,19,51,3,17,17,46,0,25,26,56,0,10,10,16,34,35,78,0,28,28,62,0,36,37,74,46,29,19,26
"blue",24,26,45,150,27,30,66,80,41,42,72,92,7,12,14,33,41,60,12,24,25,41,0,41,42,66,0,27,21,32
"red",17,17,53,60,26,27,56,32,12,29,46,193,13,18,10,28,29,57,64,48,50,93,39,24,48,68,30,12,26,16
"red",46,46,99,0,52,52,119,0,52,52,115,0,35,39,41,21,21,56,0,36,36,85,0,29,29,80,0,14,25,21
"blue",6,7,10,146,9,18,27,88,11,13,31,86,3,6,8,13,20,29,0,13,13,27,4,29,57,77,86,5,7,26
"blue",20,21,50,2,7,7,15,13,3,3,22,0,8,2,2,17,19,33,89,24,27,45,123,33,49,61,146,11,7,25
"red",32,32,86,0,25,27,83,0,40,40,108,0,24,20,27,33,33,72,2,23,26,58,41,13,13,43,0,25,12,8
"blue",23,24,59,0,16,22,53,7,19,22,45,8,11,2,5,22,26,53,80,21,22,58,128,17,20,42,59,13,13,9
"red",31,31,83,0,18,34,55,168,35,46,82,112,19,13,31,17,17,70,0,13,15,34,18,16,18,70,0,11,8,13
"blue",4,14,24,165,12,20,48,87,8,18,58,113,0,4,0,9,29,42,61,13,24,56,5,20,38,61,0,3,9,5
"red",20,34,49,248,15,42,53,282,9,37,59,282,13,6,3,4,9,12,0,1,5,10,0,3,6,8,0,1,1,3
"red",11,11,18,25,17,20,39,72,23,24,47,37,0,12,13,7,9,33,115,7,14,33,109,9,11,31,102,3,2,7
"red",13,19,39,32,14,25,33,40,11,15,41,129,13,9,10,20,22,43,99,14,23,34,192,17,22,44,38,10,9,9
"blue",7,8,28,7,12,13,27,4,5,7,16,41,3,8,3,7,16,35,76,6,14,30,161,3,15,25,169,2,3,2
"red",23,23,60,47,31,32,59,38,12,13,50,28,10,18,6,19,19,41,12,13,39,68,61,23,27,46,7,17,9,19
"red",15,15,32,18,8,35,51,135,11,40,52,153,6,8,10,13,16,55,0,8,10,33,0,0,4,20,0,8,4,0
"blue",10,24,40,0,1,15,22,0,1,23,31,12,4,1,0,14,29,44,240,6,26,33,243,0,43,51,222,11,1,0
"red",17,29,68,196,14,17,53,25,26,35,84,137,10,11,23,5,28,58,0,10,29,71,158,13,16,45,0,5,9,13
"blue",2,22,37,201,5,5,35,50,18,19,73,0,2,3,11,7,8,18,42,13,15,45,54,12,12,42,2,6,9,7
"blue",25,25,54,13,14,14,53,26,27,27,70,3,18,8,17,15,18,48,6,34,44,82,7,18,18,47,7,6,23,9
"blue",0,1,5,61,4,7,23,74,3,23,37,0,0,2,1,7,31,47,197,15,21,33,75,6,18,32,229,6,8,4
"red",26,26,54,0,42,42,91,0,31,33,77,39,9,19,18,22,22,56,0,31,31,71,0,14,14,62,0,3,20,6
"red",33,47,73,113,34,36,62,49,12,15,22,105,12,11,6,17,18,40,20,43,49,62,137,11,21,26,143,7,26,3
"red",26,26,68,0,32,32,82,0,23,23,67,4,21,29,19,24,24,78,0,39,39,84,0,21,22,62,6,17,30,16
"blue",9,13,33,89,9,16,23,5,9,10,17,92,4,8,5,15,22,44,9,20,55,68,233,16,34,42,155,6,13,13
"blue",25,25,95,0,40,40,131,0,13,30,80,0,15,31,10,30,30,73,2,37,38,79,0,57,80,130,173,27,29,42
"blue",14,30,53,29,10,17,49,0,13,31,40,59,14,9,13,25,30,52,88,29,42,62,126,6,14,16,210,11,22,3
"red",21,26,42,38,12,28,42,136,14,45,56,243,19,7,14,23,25,47,0,16,21,40,28,4,13,16,0,8,7,2
"red",19,19,41,0,30,30,61,0,26,26,72,0,5,11,7,17,17,30,5,22,22,50,1,24,25,59,0,13,15,21
