"winner","win_method","red_kd_tot","blue_kd_tot","red_sig_str_tot","red_sig_str_attempt_tot","blue_sig_str_tot","blue_sig_str_attempt_tot","red_tot_str_tot","red_tot_str_attempt_tot","blue_tot_str_tot","blue_tot_str_attempt_tot","red_td_tot","red_td_attempt_tot","blue_td_tot","blue_td_attempt_tot","red_sub_attempt_tot","blue_sub_attempt_tot","red_ctrl_time_tot","blue_ctrl_time_tot","red_kd_rnd_1","blue_kd_rnd_1","red_sig_str_rnd_1","red_sig_str_attempt_rnd_1","blue_sig_str_rnd_1","blue_sig_str_attempt_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","red_td_rnd_1","red_td_attempt_rnd_1","blue_td_rnd_1","blue_td_attempt_rnd_1","red_sub_attempt_rnd_1","blue_sub_attempt_rnd_1","red_ctrl_time_rnd_1","blue_ctrl_time_rnd_1","red_kd_rnd_2","blue_kd_rnd_2","red_sig_str_rnd_2","red_sig_str_attempt_rnd_2","blue_sig_str_rnd_2","blue_sig_str_attempt_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","red_td_rnd_2","red_td_attempt_rnd_2","blue_td_rnd_2","blue_td_attempt_rnd_2","red_sub_attempt_rnd_2","blue_sub_attempt_rnd_2","red_ctrl_time_rnd_2","blue_ctrl_time_rnd_2","red_kd_rnd_3","blue_kd_rnd_3","red_sig_str_rnd_3","red_sig_str_attempt_rnd_3","blue_sig_str_rnd_3","blue_sig_str_attempt_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","red_td_rnd_3","red_td_attempt_rnd_3","blue_td_rnd_3","blue_td_attempt_rnd_3","red_sub_attempt_rnd_3","blue_sub_attempt_rnd_3","red_ctrl_time_rnd_3","blue_ctrl_time_rnd_3","red_sig_str_head_tot","red_sig_str_head_attempt_tot","blue_sig_str_head_tot","blue_sig_str_head_attempt_tot","red_sig_str_body_tot","red_sig_str_body_attempt_tot","blue_sig_str_body_tot","blue_sig_str_body_attempt_tot","red_sig_str_leg_tot","red_sig_str_leg_attempt_tot","blue_sig_str_leg_tot","blue_sig_str_leg_attempt_tot","red_sig_str_dist_tot","red_sig_str_dist_attempt_tot","blue_sig_str_dist_tot","blue_sig_str_dist_attempt_tot","red_sig_str_clinch_tot","red_sig_str_clinch_attempt_tot","blue_sig_str_clinch_tot","blue_sig_str_clinch_attempt_tot","red_sig_str_gnd_tot","red_sig_str_gnd_attempt_tot","blue_sig_str_gnd_tot","blue_sig_str_gnd_attempt_tot","red_sig_str_head_rnd_1","red_sig_str_head_attempt_rnd_1","blue_sig_str_head_rnd_1","blue_sig_str_head_attempt_rnd_1","red_sig_str_body_rnd_1","red_sig_str_body_attempt_rnd_1","blue_sig_str_body_rnd_1","blue_sig_str_body_attempt_rnd_1","red_sig_str_leg_rnd_1","red_sig_str_leg_attempt_rnd_1","blue_sig_str_leg_rnd_1","blue_sig_str_leg_attempt_rnd_1","red_sig_str_dist_rnd_1","red_sig_str_dist_attempt_rnd_1","blue_sig_str_dist_rnd_1","blue_sig_str_dist_attempt_rnd_1","red_sig_str_clinch_rnd_1","red_sig_str_clinch_attempt_rnd_1","blue_sig_str_clinch_rnd_1","blue_sig_str_clinch_attempt_rnd_1","red_sig_str_gnd_rnd_1","red_sig_str_gnd_attempt_rnd_1","blue_sig_str_gnd_rnd_1","blue_sig_str_gnd_attempt_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_attempt_rnd_2","blue_sig_str_head_rnd_2","blue_sig_str_head_attempt_rnd_2","red_sig_str_body_rnd_2","red_sig_str_body_attempt_rnd_2","blue_sig_str_body_rnd_2","blue_sig_str_body_attempt_rnd_2","red_sig_str_leg_rnd_2","red_sig_str_leg_attempt_rnd_2","blue_sig_str_leg_rnd_2","blue_sig_str_leg_attempt_rnd_2","red_sig_str_dist_rnd_2","red_sig_str_dist_attempt_rnd_2","blue_sig_str_dist_rnd_2","blue_sig_str_dist_attempt_rnd_2","red_sig_str_clinch_rnd_2","red_sig_str_clinch_attempt_rnd_2","blue_sig_str_clinch_rnd_2","blue_sig_str_clinch_attempt_rnd_2","red_sig_str_gnd_rnd_2","red_sig_str_gnd_attempt_rnd_2","blue_sig_str_gnd_rnd_2","blue_sig_str_gnd_attempt_rnd_2","red_sig_str_head_rnd_3","red_sig_str_head_attempt_rnd_3","blue_sig_str_head_rnd_3","blue_sig_str_head_attempt_rnd_3","red_sig_str_body_rnd_3","red_sig_str_body_attempt_rnd_3","blue_sig_str_body_rnd_3","blue_sig_str_body_attempt_rnd_3","red_sig_str_leg_rnd_3","red_sig_str_leg_attempt_rnd_3","blue_sig_str_leg_rnd_3","blue_sig_str_leg_attempt_rnd_3","red_sig_str_dist_rnd_3","red_sig_str_dist_attempt_rnd_3","blue_sig_str_dist_rnd_3","blue_sig_str_dist_attempt_rnd_3","red_sig_str_clinch_rnd_3","red_sig_str_clinch_attempt_rnd_3","blue_sig_str_clinch_rnd_3","blue_sig_str_clinch_attempt_rnd_3","red_sig_str_gnd_rnd_3","red_sig_str_gnd_attempt_rnd_3","blue_sig_str_gnd_rnd_3","blue_sig_str_gnd_attempt_rnd_3"
"blue","Decision - Unanimous",0,0,44,200,56,169,44,200,56,169,0,1,0,0,0,0,0,4,0,0,17,70,23,62,17,70,23,62,0,0,0,0,0,0,0,0,0,0,12,59,17,58,12,59,17,58,0,1,0,0,0,0,0,4,0,0,15,71,16,49,15,71,16,49,0,0,0,0,0,0,0,0,12,162,43,151,7,11,9,14,25,27,4,4,44,200,56,169,0,0,0,0,0,0,0,0,7,57,17,53,2,4,5,8,8,9,1,1,17,70,23,62,0,0,0,0,0,0,0,0,4,50,13,53,3,3,3,4,5,6,1,1,12,59,17,58,0,0,0,0,0,0,0,0,1,55,13,45,2,4,1,2,12,12,2,2,15,71,16,49,0,0,0,0,0,0,0,0
"blue","Decision - Unanimous",0,1,64,201,95,182,78,216,110,197,1,18,1,2,1,0,69,228,0,1,21,74,44,83,21,74,45,84,0,6,0,0,0,0,36,22,0,0,19,58,26,48,23,62,26,48,1,6,1,2,0,0,33,73,0,0,24,69,25,51,34,80,39,65,0,6,0,0,1,0,0,133,47,172,81,166,8,19,10,12,9,10,4,4,60,190,93,177,3,8,2,4,1,3,0,1,15,62,39,77,5,11,3,4,1,1,2,2,20,73,42,79,1,1,2,3,0,0,0,1,15,51,21,43,1,4,4,4,3,3,1,1,18,51,26,48,1,6,0,0,0,1,0,0,17,59,21,46,2,4,3,4,5,6,1,1,22,66,25,50,1,1,0,1,1,2,0,0
"red","Decision - Unanimous",0,0,44,70,46,82,60,86,92,133,0,2,0,3,0,0,297,171,0,0,19,29,16,29,28,38,29,42,0,0,0,1,0,0,4,86,0,0,24,39,28,50,25,40,39,63,0,0,0,2,0,0,0,85,0,0,1,2,2,3,7,8,24,28,0,2,0,0,0,0,293,0,17,38,8,33,21,26,11,15,6,6,27,34,36,62,34,69,8,8,12,13,0,0,0,0,7,15,2,10,8,10,0,3,4,4,14,16,18,28,15,27,1,1,1,2,0,0,0,0,9,22,5,21,13,15,11,12,2,2,12,17,17,32,18,40,7,7,10,10,0,0,0,0,1,1,1,2,0,1,0,0,0,0,1,1,1,2,1,2,0,0,1,1,0,0,0,0
"red","Decision - Unanimous",0,0,44,79,55,127,56,94,62,134,2,2,0,0,1,0,81,36,0,0,11,20,12,31,11,20,12,31,0,0,0,0,0,0,0,0,0,0,19,32,22,50,19,32,28,56,0,0,0,0,1,0,18,36,0,0,14,27,21,46,26,42,22,47,2,2,0,0,0,0,63,0,24,53,23,74,20,26,9,19,0,0,23,34,33,67,48,114,9,10,7,13,2,2,0,0,4,11,5,13,7,9,1,5,0,0,6,13,9,18,11,28,2,2,1,3,0,0,0,0,9,21,9,33,10,11,4,8,0,0,9,9,15,28,18,44,4,4,4,6,0,0,0,0,11,21,9,28,3,6,4,6,0,0,8,12,9,21,19,42,3,4,2,4,2,2,0,0
"red","Decision - Unanimous",0,0,50,80,31,78,80,115,50,102,0,1,1,5,0,0,272,150,0,0,6,14,11,24,9,18,18,35,0,0,1,2,0,0,31,150,0,0,32,51,17,46,32,51,17,46,0,1,0,1,0,0,3,0,0,0,12,15,3,8,39,46,15,21,0,0,0,2,0,0,238,0,26,51,22,61,11,14,6,12,13,15,3,5,48,75,26,70,1,3,0,1,1,2,5,7,2,9,9,21,2,3,2,3,2,2,0,0,6,12,6,17,0,2,0,0,0,0,5,7,15,30,11,34,8,10,4,8,9,11,2,4,31,50,17,45,1,1,0,1,0,0,0,0,9,12,2,6,1,1,0,1,2,2,1,1,11,13,3,8,0,0,0,0,1,2,0,0
"blue","Decision - Unanimous",0,0,49,104,92,143,70,131,132,187,2,4,0,2,0,0,393,134,0,0,7,12,3,9,20,29,9,17,1,1,0,0,0,0,263,0,0,0,8,15,28,40,14,23,56,70,1,3,0,2,0,0,125,99,0,0,34,77,61,94,36,79,67,100,0,0,0,0,0,0,5,35,43,94,57,105,5,9,22,25,1,1,13,13,38,90,65,114,4,7,26,28,7,7,1,1,6,11,3,9,1,1,0,0,0,0,0,0,1,6,2,8,0,0,0,0,6,6,1,1,7,14,16,26,1,1,11,13,0,0,1,1,4,11,8,18,3,3,20,22,1,1,0,0,30,69,38,70,3,7,11,12,1,1,12,12,33,73,55,88,1,4,6,6,0,0,0,0
"red","Decision - Unanimous",0,0,20,38,45,62,64,89,70,87,12,16,0,0,0,0,569,28,0,0,9,15,26,30,9,15,33,37,4,6,0,0,0,0,141,28,0,0,6,12,9,14,30,39,14,19,4,6,0,0,0,0,221,0,0,0,5,11,10,18,25,35,23,31,4,4,0,0,0,0,207,0,10,26,29,45,5,7,11,12,5,5,5,5,18,35,43,60,2,2,0,0,0,1,2,2,4,10,19,23,2,2,4,4,3,3,3,3,9,15,25,29,0,0,0,0,0,0,1,1,3,8,5,9,1,2,3,4,2,2,1,1,4,9,9,14,2,2,0,0,0,1,0,0,3,8,5,13,2,3,4,4,0,0,1,1,5,11,9,17,0,0,0,0,0,0,1,1
"blue","Decision - Unanimous",0,0,9,14,27,37,42,48,72,85,0,2,1,1,1,1,61,767,0,0,6,9,6,8,25,29,22,25,0,0,0,0,0,0,13,273,0,0,1,3,12,12,7,9,19,20,0,1,1,1,0,1,46,241,0,0,2,2,9,17,10,10,31,40,0,1,0,0,1,0,2,253,7,12,21,30,1,1,3,4,1,1,3,3,4,9,4,13,0,0,1,1,5,5,22,23,5,8,6,8,0,0,0,0,1,1,0,0,2,5,1,3,0,0,0,0,4,4,5,5,1,3,8,8,0,0,1,1,0,0,3,3,0,2,2,2,0,0,1,1,1,1,9,9,1,1,7,14,1,1,2,3,0,0,0,0,2,2,1,8,0,0,0,0,0,0,8,9
"red","Decision - Unanimous",1,0,120,187,40,81,159,234,40,81,0,2,1,4,0,0,171,34,0,0,35,58,9,17,43,66,9,17,0,1,1,2,0,0,21,32,0,0,41,69,25,43,54,82,25,43,0,0,0,2,0,0,53,0,1,0,44,60,6,21,62,86,6,21,0,1,0,0,0,0,97,2,70,133,28,68,49,53,8,9,1,1,4,4,59,118,39,77,57,63,1,4,4,6,0,0,22,44,7,15,13,14,2,2,0,0,0,0,20,41,9,16,15,17,0,1,0,0,0,0,19,45,15,33,22,24,6,6,0,0,4,4,16,41,24,42,25,28,1,1,0,0,0,0,29,44,6,20,14,15,0,1,1,1,0,0,23,36,6,19,17,18,0,2,4,6,0,0
"red","Decision - Unanimous",0,0,31,67,28,80,76,124,29,81,5,15,0,0,0,0,537,0,0,0,13,19,2,7,26,37,2,7,3,3,0,0,0,0,220,0,0,0,6,15,7,18,34,47,7,18,1,2,0,0,0,0,214,0,0,0,12,33,19,55,16,40,20,56,1,10,0,0,0,0,103,0,23,57,18,64,3,5,4,9,5,5,6,7,17,50,28,79,1,1,0,1,13,16,0,0,11,17,0,5,0,0,0,0,2,2,2,2,3,6,2,7,0,0,0,0,10,13,0,0,4,12,3,13,2,3,1,2,0,0,3,3,3,12,7,18,0,0,0,0,3,3,0,0,8,28,15,46,1,2,3,7,3,3,1,2,11,32,19,54,1,1,0,1,0,0,0,0
"blue","Decision - Unanimous",0,0,19,42,41,63,26,49,86,112,0,0,3,3,0,3,5,699,0,0,11,29,16,28,11,29,28,43,0,0,1,1,0,2,0,215,0,0,6,7,12,16,11,12,34,38,0,0,1,1,0,0,0,245,0,0,2,6,13,19,4,8,24,31,0,0,1,1,0,1,5,239,14,29,26,43,3,10,7,11,2,3,8,9,15,38,17,34,1,1,0,0,3,3,24,29,7,21,12,22,2,5,1,3,2,3,3,3,11,29,9,19,0,0,0,0,0,0,7,9,5,5,6,9,1,2,3,4,0,0,3,3,2,3,4,6,1,1,0,0,3,3,8,10,2,3,8,12,0,3,3,4,0,0,2,3,2,6,4,9,0,0,0,0,0,0,9,10
"red","Decision - Unanimous",0,0,82,174,63,134,101,195,80,152,0,5,1,1,0,0,154,164,0,0,28,66,19,33,29,67,20,35,0,1,0,0,0,0,54,0,0,0,25,51,20,40,32,58,31,51,0,1,1,1,0,0,19,125,0,0,29,57,24,61,40,70,29,66,0,3,0,0,0,0,81,39,57,143,46,113,16,21,15,19,9,10,2,2,62,150,43,109,17,21,18,23,3,3,2,2,16,53,12,26,8,8,6,6,4,5,1,1,19,57,12,25,9,9,7,8,0,0,0,0,16,38,13,32,4,8,6,7,5,5,1,1,17,41,11,29,6,8,7,9,2,2,2,2,25,52,21,55,4,5,3,6,0,0,0,0,26,52,20,55,2,4,4,6,1,1,0,0
"red","Decision - Unanimous",0,0,106,166,84,178,123,183,136,233,7,13,0,3,0,0,314,25,0,0,38,63,33,69,43,68,44,80,2,3,0,1,0,0,58,14,0,0,53,76,38,69,58,81,43,74,1,3,0,1,0,0,78,3,0,0,15,27,13,40,22,34,49,79,4,7,0,1,0,0,178,8,68,122,45,127,31,37,33,44,7,7,6,7,71,122,55,138,32,41,29,35,3,3,0,5,17,41,18,48,17,18,12,18,4,4,3,3,23,47,25,58,15,16,8,11,0,0,0,0,39,59,20,48,12,15,16,19,2,2,2,2,36,53,25,56,15,21,13,13,2,2,0,0,12,22,7,31,2,4,5,7,1,1,1,2,12,22,5,24,2,4,8,11,1,1,0,5
"red","Decision - Split",0,0,51,109,29,86,118,205,48,117,3,5,1,1,3,0,436,15,0,0,11,38,14,38,19,47,25,57,1,1,0,0,3,0,125,0,0,0,12,24,7,21,49,79,10,26,1,1,0,0,0,0,210,0,0,0,28,47,8,27,50,79,13,34,1,3,1,1,0,0,101,15,31,81,15,64,15,23,5,13,5,5,9,9,47,100,28,84,1,1,1,1,3,8,0,1,5,28,6,29,3,7,4,5,3,3,4,4,10,36,14,37,1,1,0,0,0,1,0,1,8,18,5,16,3,5,0,3,1,1,2,2,9,18,7,21,0,0,0,0,3,6,0,0,18,35,4,19,9,11,1,5,1,1,3,3,28,46,7,26,0,0,1,1,0,1,0,0
"blue","Decision - Unanimous",0,0,80,197,123,272,81,198,126,277,0,0,0,0,0,0,0,2,0,0,27,65,49,102,28,66,49,104,0,0,0,0,0,0,0,0,0,0,30,71,38,91,30,71,39,92,0,0,0,0,0,0,0,2,0,0,23,61,36,79,23,61,38,81,0,0,0,0,0,0,0,0,58,168,88,225,14,19,19,29,8,10,16,18,79,196,121,270,1,1,2,2,0,0,0,0,18,56,34,83,6,6,7,10,3,3,8,9,27,65,48,101,0,0,1,1,0,0,0,0,20,56,28,79,7,11,6,7,3,4,4,5,30,71,38,91,0,0,0,0,0,0,0,0,20,56,26,63,1,2,6,12,2,3,4,4,22,60,35,78,1,1,1,1,0,0,0,0
"blue","Decision - Unanimous",0,0,114,226,126,228,123,237,164,275,0,0,2,4,0,1,28,267,0,0,56,115,46,92,61,122,57,104,0,0,1,2,0,0,2,70,0,0,24,43,30,46,27,46,54,78,0,0,1,1,0,1,0,192,0,0,34,68,50,90,35,69,53,93,0,0,0,1,0,0,26,5,71,173,90,190,35,44,16,18,8,9,20,20,89,190,105,198,25,36,20,27,0,0,1,3,38,92,33,77,18,22,10,12,0,1,3,3,38,89,33,77,18,26,13,15,0,0,0,0,11,30,18,34,9,9,4,4,4,4,8,8,19,37,25,35,5,6,4,8,0,0,1,3,22,51,39,79,8,13,2,2,4,4,9,9,32,64,47,86,2,4,3,4,0,0,0,0
"blue","Decision - Unanimous",0,0,23,53,70,95,28,65,118,150,4,13,1,3,1,0,258,256,0,0,10,22,26,35,13,28,36,46,2,4,0,1,1,0,92,27,0,0,5,10,14,19,6,13,44,53,1,1,1,1,0,0,64,190,0,0,8,21,30,41,9,24,38,51,1,8,0,1,0,0,102,39,14,37,44,63,3,8,18,23,6,8,8,9,19,45,42,64,1,3,14,15,3,5,14,16,4,13,12,20,1,3,7,8,5,6,7,7,10,22,19,28,0,0,0,0,0,0,7,7,4,9,8,11,0,0,6,8,1,1,0,0,2,5,5,8,0,0,3,3,3,5,6,8,6,15,24,32,2,5,5,7,0,1,1,2,7,18,18,28,1,3,11,12,0,0,1,1
"blue","Decision - Unanimous",0,1,42,164,94,161,47,169,109,178,0,2,2,4,0,0,10,241,0,0,20,63,33,56,22,65,36,59,0,0,1,1,0,0,0,49,0,0,6,33,21,33,6,33,33,47,0,1,1,2,0,0,1,153,0,1,16,68,40,72,19,71,40,72,0,1,0,1,0,0,9,39,12,108,78,142,17,35,8,11,13,21,8,8,37,156,71,130,5,8,9,13,0,0,14,18,6,38,27,47,6,13,3,6,8,12,3,3,18,60,28,48,2,3,2,4,0,0,3,4,2,22,18,30,3,8,1,1,1,3,2,2,6,32,14,24,0,1,1,1,0,0,6,8,4,48,33,65,8,14,4,4,4,6,3,3,13,64,29,58,3,4,6,8,0,0,5,6
"blue","Decision - Unanimous",0,0,64,161,128,192,69,166,143,207,1,5,0,1,2,0,188,39,0,0,14,31,27,40,14,31,30,43,1,2,0,0,2,0,142,9,0,0,20,60,44,60,20,60,44,60,0,1,0,0,0,0,13,4,0,0,30,70,57,92,35,75,69,104,0,2,0,1,0,0,33,26,44,134,86,147,8,12,26,28,12,15,16,17,62,157,121,184,2,4,6,7,0,0,1,1,7,24,18,31,3,3,7,7,4,4,2,2,13,30,24,36,1,1,2,3,0,0,1,1,11,46,28,43,3,6,10,10,6,8,6,7,20,59,42,58,0,1,2,2,0,0,0,0,26,64,40,73,2,3,9,11,2,3,8,8,29,68,55,90,1,2,2,2,0,0,0,0
"red","Decision - Unanimous",0,0,69,230,60,197,69,230,60,197,0,1,1,4,0,0,2,0,0,0,27,72,21,60,27,72,21,60,0,0,1,2,0,0,2,0,0,0,24,80,17,71,24,80,17,71,0,0,0,1,0,0,0,0,0,0,18,78,22,66,18,78,22,66,0,1,0,1,0,0,0,0,45,190,31,134,11,22,17,46,13,18,12,17,68,227,59,196,1,3,1,1,0,0,0,0,11,51,11,42,7,10,4,11,9,11,6,7,27,71,21,60,0,1,0,0,0,0,0,0,19,71,8,51,2,5,6,15,3,4,3,5,23,79,17,71,1,1,0,0,0,0,0,0,15,68,12,41,2,7,7,20,1,3,3,5,18,77,21,65,0,1,1,1,0,0,0,0
"blue","Decision - Unanimous",0,0,83,199,50,147,105,222,58,155,0,2,0,7,0,0,41,88,0,0,31,69,17,42,31,69,17,42,0,0,0,0,0,0,0,0,0,0,17,48,9,38,33,65,14,43,0,1,0,4,0,0,39,55,0,0,35,82,24,67,41,88,27,70,0,1,0,3,0,0,2,33,44,145,24,97,19,32,7,23,20,22,19,27,81,197,50,146,2,2,0,1,0,0,0,0,11,44,5,20,12,16,4,7,8,9,8,15,31,69,17,42,0,0,0,0,0,0,0,0,9,35,3,24,5,10,1,8,3,3,5,6,16,47,9,37,1,1,0,1,0,0,0,0,24,66,16,53,2,6,2,8,9,10,6,6,34,81,24,67,1,1,0,0,0,0,0,0
"red","Decision - Unanimous",0,0,168,331,100,210,169,332,101,211,0,1,1,1,2,0,10,66,0,0,41,96,33,71,41,96,33,71,0,0,0,0,0,0,3,0,0,0,71,126,35,72,72,127,35,72,0,0,0,0,0,0,3,14,0,0,56,109,32,67,56,109,33,68,0,1,1,1,2,0,4,52,116,262,79,182,39,55,21,27,13,14,0,1,150,305,90,195,18,26,10,14,0,0,0,1,29,80,24,60,11,15,9,11,1,1,0,0,35,87,28,65,6,9,5,6,0,0,0,0,46,94,27,61,17,24,8,11,8,8,0,0,65,117,32,68,6,9,3,4,0,0,0,0,41,88,28,61,11,16,4,5,4,5,0,1,50,101,30,62,6,8,2,4,0,0,0,1
"red","Decision - Unanimous",0,0,64,122,32,63,113,183,95,130,2,7,0,7,1,0,520,121,0,0,10,17,8,9,25,36,40,44,1,3,0,1,0,0,206,39,0,0,17,34,13,31,37,58,36,54,0,3,0,2,0,0,143,37,0,0,37,71,11,23,51,89,19,32,1,1,0,4,1,0,171,45,56,111,14,41,7,9,8,11,1,2,10,11,38,85,18,47,14,17,13,15,12,20,1,1,9,14,3,3,1,2,2,3,0,1,3,3,2,6,4,5,1,1,3,3,7,10,1,1,16,32,5,21,1,2,4,5,0,0,4,5,14,28,6,23,3,6,7,8,0,0,0,0,31,65,6,17,5,5,2,3,1,1,3,3,22,51,8,19,10,10,3,4,5,10,0,0
"red","Decision - Unanimous",0,0,26,42,33,51,151,184,87,107,2,4,0,0,3,0,499,196,0,0,6,11,13,19,25,30,32,38,1,2,0,0,2,0,64,133,0,0,5,9,13,16,54,62,36,40,0,1,0,0,0,0,171,63,0,0,15,22,7,16,72,92,19,29,1,1,0,0,1,0,264,0,14,29,19,36,5,5,9,10,7,8,5,5,12,25,15,32,3,3,14,15,11,14,4,4,3,8,9,14,0,0,1,2,3,3,3,3,6,11,7,13,0,0,3,3,0,0,3,3,0,3,7,10,3,3,6,6,2,3,0,0,2,6,2,4,3,3,11,12,0,0,0,0,11,18,3,12,2,2,2,2,2,2,2,2,4,8,6,15,0,0,0,0,11,14,1,1
"blue","Decision - Unanimous",0,0,67,110,57,137,87,131,156,246,2,5,0,1,2,0,322,185,0,0,29,51,29,58,33,55,54,85,0,2,0,1,0,0,97,58,0,0,25,37,18,51,26,38,50,86,1,2,0,0,1,0,59,88,0,0,13,22,10,28,28,38,52,75,1,1,0,0,1,0,166,39,47,89,56,136,15,15,0,0,5,6,1,1,54,95,49,127,11,13,5,7,2,2,3,3,20,42,28,57,7,7,0,0,2,2,1,1,23,43,27,54,6,8,2,4,0,0,0,0,16,27,18,51,7,7,0,0,2,3,0,0,20,32,13,46,5,5,3,3,0,0,2,2,11,20,10,28,1,1,0,0,1,1,0,0,11,20,9,27,0,0,0,0,2,2,1,1
"blue","Decision - Unanimous",0,0,29,61,29,43,37,69,79,95,0,0,4,9,0,2,0,561,0,0,7,11,15,20,8,12,36,42,0,0,2,5,0,0,0,214,0,0,15,33,8,15,22,40,20,27,0,0,1,2,0,0,0,133,0,0,7,17,6,8,7,17,23,26,0,0,1,2,0,2,0,214,12,36,24,36,10,12,5,7,7,13,0,0,19,50,11,22,9,10,1,3,1,1,17,18,2,5,14,19,4,4,1,1,1,2,0,0,3,7,1,6,4,4,1,1,0,0,13,13,6,20,4,9,4,5,4,6,5,8,0,0,10,27,7,12,5,6,0,2,0,0,1,1,4,11,6,8,2,3,0,0,1,3,0,0,6,16,3,4,0,0,0,0,1,1,3,4
"blue","Decision - Split",0,0,76,128,49,101,108,165,86,144,1,4,7,17,0,0,2,595,0,0,13,27,10,23,22,40,23,40,0,1,2,2,0,0,0,218,0,0,19,27,15,30,29,37,26,42,1,3,3,7,0,0,2,203,0,0,44,74,24,48,57,88,37,62,0,0,2,8,0,0,0,174,61,111,37,87,12,14,4,5,3,3,8,9,69,117,27,72,4,6,5,6,3,5,17,23,11,25,5,17,0,0,0,1,2,2,5,5,13,26,4,15,0,0,0,0,0,1,6,8,14,22,15,30,4,4,0,0,1,1,0,0,14,22,7,19,2,2,1,2,3,3,7,9,36,64,17,40,8,10,4,4,0,0,3,4,42,69,16,38,2,4,4,4,0,1,4,6
"red","Decision - Unanimous",0,0,176,321,124,230,208,360,133,242,3,3,0,3,0,0,154,12,0,0,61,110,39,89,62,111,39,91,0,0,0,1,0,0,14,12,0,0,68,120,51,81,72,126,51,82,1,1,0,1,0,0,5,0,0,0,47,91,34,60,74,123,43,69,2,2,0,1,0,0,135,0,146,286,81,179,21,26,36,42,9,9,7,9,145,280,117,220,22,29,6,9,9,12,1,1,50,97,24,71,7,9,13,15,4,4,2,3,53,97,36,84,8,13,3,5,0,0,0,0,56,107,36,63,8,9,11,14,4,4,4,4,60,111,48,77,8,9,3,4,0,0,0,0,40,82,21,45,6,8,12,13,1,1,1,2,32,72,33,59,6,7,0,0,9,12,1,1
"red","Decision - Unanimous",0,0,59,135,58,111,80,158,96,152,1,2,1,2,0,0,147,172,0,0,16,52,18,28,31,69,19,30,1,1,0,0,0,0,94,24,0,0,24,56,20,42,27,59,21,43,0,0,0,1,0,0,6,38,0,0,19,27,20,41,22,30,56,79,0,1,1,1,0,0,47,110,34,100,30,76,20,29,16,19,5,6,12,16,54,126,54,107,5,6,4,4,0,3,0,0,6,38,5,12,6,9,4,4,4,5,9,12,16,49,17,27,0,0,1,1,0,3,0,0,15,41,13,32,8,14,4,6,1,1,3,4,23,54,19,41,1,2,1,1,0,0,0,0,13,21,12,32,6,6,8,9,0,0,0,0,15,23,18,39,4,4,2,2,0,0,0,0
"red","Decision - Unanimous",0,0,34,82,68,119,34,82,68,119,0,0,0,0,0,0,0,0,0,0,6,16,16,25,6,16,16,25,0,0,0,0,0,0,0,0,0,0,13,31,23,39,13,31,23,39,0,0,0,0,0,0,0,0,0,0,15,35,29,55,15,35,29,55,0,0,0,0,0,0,0,0,16,53,16,58,6,13,6,9,12,16,46,52,33,81,68,118,1,1,0,1,0,0,0,0,2,8,4,10,2,3,0,0,2,5,12,15,6,16,16,25,0,0,0,0,0,0,0,0,6,21,5,18,2,4,5,6,5,6,13,15,13,31,23,39,0,0,0,0,0,0,0,0,8,24,7,30,2,6,1,3,5,5,21,22,14,34,29,54,1,1,0,1,0,0,0,0
"red","Decision - Unanimous",0,0,120,207,49,202,129,219,68,222,2,4,0,1,1,0,195,87,0,0,23,36,13,49,25,38,25,62,1,3,0,0,0,0,92,58,0,0,54,89,12,79,54,89,12,79,0,0,0,0,0,0,0,0,0,0,43,82,24,74,50,92,31,81,1,1,0,1,1,0,103,29,85,166,40,186,17,22,5,10,18,19,4,6,108,195,49,193,7,7,0,6,5,5,0,3,15,27,11,46,4,5,2,3,4,4,0,0,18,31,13,44,5,5,0,3,0,0,0,2,34,65,9,73,12,15,1,4,8,9,2,2,54,89,12,79,0,0,0,0,0,0,0,0,36,74,20,67,1,2,2,3,6,6,2,4,36,75,24,70,2,2,0,3,5,5,0,1
"blue","Decision - Unanimous",0,0,36,96,74,170,84,149,133,234,2,10,0,0,0,0,406,19,0,0,10,26,19,36,53,72,51,70,2,5,0,0,0,0,246,0,0,0,17,43,26,78,18,44,27,80,0,1,0,0,0,0,7,0,0,0,9,27,29,56,13,33,55,84,0,4,0,0,0,0,153,19,29,84,54,143,6,11,15,21,1,1,5,6,30,88,58,149,1,3,14,18,5,5,2,3,9,24,10,22,1,2,6,10,0,0,3,4,4,19,13,27,1,2,4,6,5,5,2,3,13,38,23,73,3,4,2,4,1,1,1,1,17,43,26,78,0,0,0,0,0,0,0,0,7,22,21,48,2,5,7,7,0,0,1,1,9,26,19,44,0,1,10,12,0,0,0,0
