"winner","win_method","red_kd_tot","blue_kd_tot","red_sig_str_tot","red_sig_str_attempt_tot","blue_sig_str_tot","blue_sig_str_attempt_tot","red_tot_str_tot","red_tot_str_attempt_tot","blue_tot_str_tot","blue_tot_str_attempt_tot","red_td_tot","red_td_attempt_tot","blue_td_tot","blue_td_attempt_tot","red_sub_attempt_tot","blue_sub_attempt_tot","red_ctrl_time_tot","blue_ctrl_time_tot","red_kd_rnd_1","blue_kd_rnd_1","red_sig_str_rnd_1","red_sig_str_attempt_rnd_1","blue_sig_str_rnd_1","blue_sig_str_attempt_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","red_td_rnd_1","red_td_attempt_rnd_1","blue_td_rnd_1","blue_td_attempt_rnd_1","red_sub_attempt_rnd_1","blue_sub_attempt_rnd_1","red_ctrl_time_rnd_1","blue_ctrl_time_rnd_1","red_kd_rnd_2","blue_kd_rnd_2","red_sig_str_rnd_2","red_sig_str_attempt_rnd_2","blue_sig_str_rnd_2","blue_sig_str_attempt_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","red_td_rnd_2","red_td_attempt_rnd_2","blue_td_rnd_2","blue_td_attempt_rnd_2","red_sub_attempt_rnd_2","blue_sub_attempt_rnd_2","red_ctrl_time_rnd_2","blue_ctrl_time_rnd_2","red_kd_rnd_3","blue_kd_rnd_3","red_sig_str_rnd_3","red_sig_str_attempt_rnd_3","blue_sig_str_rnd_3","blue_sig_str_attempt_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","red_td_rnd_3","red_td_attempt_rnd_3","blue_td_rnd_3","blue_td_attempt_rnd_3","red_sub_attempt_rnd_3","blue_sub_attempt_rnd_3","red_ctrl_time_rnd_3","blue_ctrl_time_rnd_3","red_sig_str_head_tot","red_sig_str_head_attempt_tot","blue_sig_str_head_tot","blue_sig_str_head_attempt_tot","red_sig_str_body_tot","red_sig_str_body_attempt_tot","blue_sig_str_body_tot","blue_sig_str_body_attempt_tot","red_sig_str_leg_tot","red_sig_str_leg_attempt_tot","blue_sig_str_leg_tot","blue_sig_str_leg_attempt_tot","red_sig_str_dist_tot","red_sig_str_dist_attempt_tot","blue_sig_str_dist_tot","blue_sig_str_dist_attempt_tot","red_sig_str_clinch_tot","red_sig_str_clinch_attempt_tot","blue_sig_str_clinch_tot","blue_sig_str_clinch_attempt_tot","red_sig_str_gnd_tot","red_sig_str_gnd_attempt_tot","blue_sig_str_gnd_tot","blue_sig_str_gnd_attempt_tot","red_sig_str_head_rnd_1","red_sig_str_head_attempt_rnd_1","blue_sig_str_head_rnd_1","blue_sig_str_head_attempt_rnd_1","red_sig_str_body_rnd_1","red_sig_str_body_attempt_rnd_1","blue_sig_str_body_rnd_1","blue_sig_str_body_attempt_rnd_1","red_sig_str_leg_rnd_1","red_sig_str_leg_attempt_rnd_1","blue_sig_str_leg_rnd_1","blue_sig_str_leg_attempt_rnd_1","red_sig_str_dist_rnd_1","red_sig_str_dist_attempt_rnd_1","blue_sig_str_dist_rnd_1","blue_sig_str_dist_attempt_rnd_1","red_sig_str_clinch_rnd_1","red_sig_str_clinch_attempt_rnd_1","blue_sig_str_clinch_rnd_1","blue_sig_str_clinch_attempt_rnd_1","red_sig_str_gnd_rnd_1","red_sig_str_gnd_attempt_rnd_1","blue_sig_str_gnd_rnd_1","blue_sig_str_gnd_attempt_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_attempt_rnd_2","blue_sig_str_head_rnd_2","blue_sig_str_head_attempt_rnd_2","red_sig_str_body_rnd_2","red_sig_str_body_attempt_rnd_2","blue_sig_str_body_rnd_2","blue_sig_str_body_attempt_rnd_2","red_sig_str_leg_rnd_2","red_sig_str_leg_attempt_rnd_2","blue_sig_str_leg_rnd_2","blue_sig_str_leg_attempt_rnd_2","red_sig_str_dist_rnd_2","red_sig_str_dist_attempt_rnd_2","blue_sig_str_dist_rnd_2","blue_sig_str_dist_attempt_rnd_2","red_sig_str_clinch_rnd_2","red_sig_str_clinch_attempt_rnd_2","blue_sig_str_clinch_rnd_2","blue_sig_str_clinch_attempt_rnd_2","red_sig_str_gnd_rnd_2","red_sig_str_gnd_attempt_rnd_2","blue_sig_str_gnd_rnd_2","blue_sig_str_gnd_attempt_rnd_2","red_sig_str_head_rnd_3","red_sig_str_head_attempt_rnd_3","blue_sig_str_head_rnd_3","blue_sig_str_head_attempt_rnd_3","red_sig_str_body_rnd_3","red_sig_str_body_attempt_rnd_3","blue_sig_str_body_rnd_3","blue_sig_str_body_attempt_rnd_3","red_sig_str_leg_rnd_3","red_sig_str_leg_attempt_rnd_3","blue_sig_str_leg_rnd_3","blue_sig_str_leg_attempt_rnd_3","red_sig_str_dist_rnd_3","red_sig_str_dist_attempt_rnd_3","blue_sig_str_dist_rnd_3","blue_sig_str_dist_attempt_rnd_3","red_sig_str_clinch_rnd_3","red_sig_str_clinch_attempt_rnd_3","blue_sig_str_clinch_rnd_3","blue_sig_str_clinch_attempt_rnd_3","red_sig_str_gnd_rnd_3","red_sig_str_gnd_attempt_rnd_3","blue_sig_str_gnd_rnd_3","blue_sig_str_gnd_attempt_rnd_3"
"red","Decision - Unanimous",0,0,60,133,65,142,80,158,78,161,5,10,1,3,0,0,339,77,0,0,14,25,13,33,29,44,23,46,3,4,0,0,0,0,180,0,0,0,38,73,32,74,38,73,33,75,0,3,0,0,0,0,16,31,0,0,8,35,20,35,13,41,22,40,2,3,1,3,0,0,143,46,39,110,44,116,7,8,14,18,14,15,7,8,52,123,60,133,5,7,2,5,3,3,3,4,5,15,8,26,3,3,4,5,6,7,1,2,8,19,9,27,3,3,1,2,3,3,3,4,26,60,25,65,4,5,5,7,8,8,2,2,36,70,31,72,2,3,1,2,0,0,0,0,8,35,11,25,0,0,5,6,0,0,4,4,8,34,20,34,0,1,0,1,0,0,0,0
"red","Decision - Unanimous",0,0,17,49,35,56,111,190,49,76,4,8,2,2,0,0,445,105,0,0,5,21,19,30,10,27,22,34,1,3,1,1,0,0,9,82,0,0,9,18,12,19,48,64,15,24,0,2,1,1,0,0,173,23,0,0,3,10,4,7,53,99,12,18,3,3,0,0,0,0,263,0,11,38,16,34,2,5,9,11,4,6,10,11,15,47,30,49,0,0,0,0,2,2,5,7,1,14,7,17,2,3,4,5,2,4,8,8,5,21,14,23,0,0,0,0,0,0,5,7,8,16,6,11,0,1,5,6,1,1,1,2,9,18,12,19,0,0,0,0,0,0,0,0,2,8,3,6,0,1,0,0,1,1,1,1,1,8,4,7,0,0,0,0,2,2,0,0
"red","Decision - Unanimous",1,0,60,159,53,130,67,170,65,147,2,3,0,0,1,0,127,19,0,0,11,39,11,27,16,45,22,39,2,2,0,0,1,0,111,0,1,0,23,63,19,47,24,67,20,51,0,1,0,0,0,0,16,4,0,0,26,57,23,56,27,58,23,57,0,0,0,0,0,0,0,15,40,126,23,72,14,25,6,22,6,8,24,36,53,148,50,126,2,4,3,4,5,7,0,0,5,30,3,11,4,6,2,4,2,3,6,12,10,37,11,27,0,1,0,0,1,1,0,0,20,56,9,28,2,6,2,9,1,1,8,10,18,55,19,46,1,2,0,1,4,6,0,0,15,40,11,33,8,13,2,9,3,4,10,14,25,56,20,53,1,1,3,3,0,0,0,0
"red","Decision - Unanimous",0,0,89,218,34,154,124,257,57,184,0,0,2,3,0,0,0,93,0,0,29,67,9,47,53,91,13,54,0,0,1,1,0,0,0,31,0,0,23,61,8,45,30,72,26,67,0,0,0,0,0,0,0,44,0,0,37,90,17,62,41,94,18,63,0,0,1,2,0,0,0,18,61,173,29,143,12,25,4,9,16,20,1,2,86,213,30,145,2,2,1,2,1,3,3,7,19,53,8,45,4,6,1,2,6,8,0,0,29,67,7,43,0,0,0,0,0,0,2,4,14,46,7,41,3,8,0,2,6,7,1,2,22,58,7,42,0,0,0,0,1,3,1,3,28,74,14,57,5,11,3,5,4,5,0,0,35,88,16,60,2,2,1,2,0,0,0,0
"red","Decision - Unanimous",0,0,193,288,164,349,232,329,196,383,0,0,0,14,0,0,146,129,0,0,54,81,63,131,68,96,81,150,0,0,0,2,0,0,51,19,0,0,82,114,54,130,85,117,57,133,0,0,0,2,0,0,35,32,0,0,57,93,47,88,79,116,58,100,0,0,0,10,0,0,60,78,133,219,129,301,32,37,28,39,28,32,7,9,162,252,145,322,30,35,19,27,1,1,0,0,37,61,49,109,8,9,11,17,9,11,3,5,53,79,54,120,1,2,9,11,0,0,0,0,55,84,43,116,14,17,8,11,13,13,3,3,71,100,52,125,11,14,2,5,0,0,0,0,41,74,37,76,10,11,9,11,6,8,1,1,38,73,39,77,18,19,8,11,1,1,0,0
"red","Decision - Unanimous",1,0,116,183,103,245,133,205,104,246,0,0,1,6,0,0,97,3,0,0,40,77,49,99,41,78,50,100,0,0,0,2,0,0,0,3,1,0,38,60,24,69,51,73,24,69,0,0,0,2,0,0,69,0,0,0,38,46,30,77,41,54,30,77,0,0,1,2,0,0,28,0,83,143,64,199,7,12,28,35,26,28,11,11,102,164,99,241,5,5,4,4,9,14,0,0,27,58,35,85,3,7,7,7,10,12,7,7,36,73,46,96,4,4,3,3,0,0,0,0,29,51,11,51,2,2,10,15,7,7,3,3,30,47,24,69,0,0,0,0,8,13,0,0,27,34,18,63,2,3,11,13,9,9,1,1,36,44,29,76,1,1,1,1,1,1,0,0
"red","Decision - Unanimous",0,0,153,321,77,189,153,321,78,190,0,0,0,0,0,0,0,0,0,0,48,105,25,56,48,105,25,56,0,0,0,0,0,0,0,0,0,0,57,119,25,68,57,119,26,69,0,0,0,0,0,0,0,0,0,0,48,97,27,65,48,97,27,65,0,0,0,0,0,0,0,0,110,270,43,149,21,28,11,14,22,23,23,26,152,319,76,184,1,2,1,5,0,0,0,0,29,85,10,38,9,10,6,7,10,10,9,11,48,105,25,56,0,0,0,0,0,0,0,0,43,103,13,54,9,11,3,4,5,5,9,10,56,118,24,66,1,1,1,2,0,0,0,0,38,82,20,57,3,7,2,3,7,8,5,5,48,96,27,62,0,1,0,3,0,0,0,0
"red","Decision - Unanimous",0,0,75,124,46,103,77,126,47,104,0,0,0,4,0,0,10,45,0,0,21,36,11,24,23,38,12,25,0,0,0,1,0,0,5,40,0,0,31,43,16,37,31,43,16,37,0,0,0,1,0,0,5,0,0,0,23,45,19,42,23,45,19,42,0,0,0,2,0,0,0,5,26,63,27,70,25,32,13,24,24,29,6,9,68,117,41,96,7,7,5,7,0,0,0,0,4,14,5,14,8,10,5,8,9,12,1,2,18,33,10,23,3,3,1,1,0,0,0,0,13,21,12,27,8,11,2,6,10,11,2,4,29,41,14,35,2,2,2,2,0,0,0,0,9,28,10,29,9,11,6,10,5,6,3,3,21,43,17,38,2,2,2,4,0,0,0,0
"blue","Decision - Unanimous",0,0,93,165,79,194,122,197,89,208,0,0,1,7,0,0,161,26,0,0,24,52,34,75,24,52,34,75,0,0,0,1,0,0,1,8,0,0,28,48,26,71,28,48,31,78,0,0,1,3,0,0,0,17,0,0,41,65,19,48,70,97,24,55,0,0,0,3,0,0,160,1,35,99,61,168,51,59,15,23,7,7,3,3,68,129,77,191,16,22,2,3,9,14,0,0,10,35,23,62,10,13,9,11,4,4,2,2,22,49,34,75,2,3,0,0,0,0,0,0,11,30,21,63,14,15,4,7,3,3,1,1,28,46,25,69,0,2,1,2,0,0,0,0,14,34,17,43,27,31,2,5,0,0,0,0,18,34,18,47,14,17,1,1,9,14,0,0
"red","Decision - Unanimous",0,0,75,139,58,139,89,153,73,157,0,0,0,16,0,0,120,121,0,0,20,38,9,35,31,49,14,41,0,0,0,3,0,0,98,25,0,0,22,43,28,63,23,44,35,70,0,0,0,7,0,0,6,49,0,0,33,58,21,41,35,60,24,46,0,0,0,6,0,0,16,47,53,117,39,117,18,18,15,17,4,4,4,5,54,114,47,121,18,22,11,18,3,3,0,0,15,33,5,30,4,4,2,3,1,1,2,2,16,33,7,32,1,2,2,3,3,3,0,0,14,35,19,52,8,8,9,10,0,0,0,1,14,35,20,51,8,8,8,12,0,0,0,0,24,49,15,35,6,6,4,4,3,3,2,2,24,46,20,38,9,12,1,3,0,0,0,0
