"winner","kd_rnd_1","sig_str_rnd_1","sig_str_attempt_rnd_1","tot_str_rnd_1","tot_str_attempt_rnd_1","td_rnd_1","td_attempt_rnd_1","sub_attempt_rnd_1","ctrl_time_rnd_1","kd_rnd_2","sig_str_rnd_2","sig_str_attempt_rnd_2","tot_str_rnd_2","tot_str_attempt_rnd_2","td_rnd_2","td_attempt_rnd_2","sub_attempt_rnd_2","ctrl_time_rnd_2","kd_rnd_3","sig_str_rnd_3","sig_str_attempt_rnd_3","tot_str_rnd_3","tot_str_attempt_rnd_3","td_rnd_3","td_attempt_rnd_3","sub_attempt_rnd_3","ctrl_time_rnd_3","sig_str_head_rnd_1","sig_str_head_attempt_rnd_1","sig_str_body_rnd_1","sig_str_body_attempt_rnd_1","sig_str_leg_rnd_1","sig_str_leg_attempt_rnd_1","sig_str_dist_rnd_1","sig_str_dist_attempt_rnd_1","sig_str_clinch_rnd_1","sig_str_clinch_attempt_rnd_1","sig_str_gnd_rnd_1","sig_str_gnd_attempt_rnd_1","sig_str_head_rnd_2","sig_str_head_attempt_rnd_2","sig_str_body_rnd_2","sig_str_body_attempt_rnd_2","sig_str_leg_rnd_2","sig_str_leg_attempt_rnd_2","sig_str_dist_rnd_2","sig_str_dist_attempt_rnd_2","sig_str_clinch_rnd_2","sig_str_clinch_attempt_rnd_2","sig_str_gnd_rnd_2","sig_str_gnd_attempt_rnd_2","sig_str_head_rnd_3","sig_str_head_attempt_rnd_3","sig_str_body_rnd_3","sig_str_body_attempt_rnd_3","sig_str_leg_rnd_3","sig_str_leg_attempt_rnd_3","sig_str_dist_rnd_3","sig_str_dist_attempt_rnd_3","sig_str_clinch_rnd_3","sig_str_clinch_attempt_rnd_3","sig_str_gnd_rnd_3","sig_str_gnd_attempt_rnd_3"
"red",0,-9,-22,-9,-22,0,-2,0,-3,1,14,-9,27,4,0,-2,0,69,0,8,-31,11,-23,-1,-2,0,28,-8,-27,-4,0,3,5,-10,-23,1,1,0,0,18,0,-8,-13,4,4,6,-22,0,0,8,13,9,-29,-9,-10,8,8,7,-32,0,0,1,1
"red",0,23,49,23,49,0,0,0,0,0,32,51,31,50,0,0,0,0,0,21,32,21,32,0,0,0,0,19,47,3,3,1,-1,23,49,0,0,0,0,30,49,6,7,-4,-5,32,52,0,-1,0,0,18,25,1,4,2,3,21,34,0,-2,0,0
"red",0,10,12,11,13,0,-1,0,-35,0,15,6,15,6,0,-1,0,5,0,4,3,4,3,0,-2,0,-5,-1,0,3,2,8,10,8,10,2,2,0,0,1,-6,6,5,8,7,15,6,0,0,0,0,-1,-1,3,1,2,3,4,5,0,-2,0,0
"blue",0,-10,-23,-10,-23,0,-1,0,-7,0,2,-23,-3,-30,-1,-3,0,-17,0,22,17,46,42,0,-3,0,159,-13,-27,1,2,2,2,-12,-26,2,3,0,0,-10,-33,10,8,2,2,3,-23,-1,0,0,0,-3,-9,25,26,0,0,0,-13,13,16,9,14
"red",0,11,3,17,8,0,-3,0,73,0,-6,-20,-12,-26,0,-7,0,-43,0,12,17,11,14,0,-6,0,-31,10,3,2,1,-1,-1,9,1,-1,-1,3,3,-5,-17,-1,-2,0,-1,-6,-16,0,-4,0,0,9,14,2,2,1,1,4,8,8,9,0,0
"red",1,11,5,5,-1,0,1,0,45,0,-6,-8,2,-2,1,2,0,54,0,13,9,13,9,0,0,0,6,9,5,6,4,-4,-4,12,8,-2,-4,1,1,2,2,2,1,-10,-11,-7,-9,1,1,0,0,9,8,9,6,-5,-5,13,9,0,0,0,0
"red",-1,-4,-5,-43,-40,-1,-2,1,-181,0,14,21,19,26,1,0,0,35,0,28,62,29,63,0,-1,0,3,-7,-10,1,3,2,2,-1,-1,0,-1,-3,-3,9,14,3,5,2,2,12,19,2,2,0,0,11,49,7,2,10,11,27,61,1,1,0,0
"blue",0,-4,23,-4,23,0,0,0,0,0,-10,4,-10,4,-1,-3,0,-26,0,5,16,7,15,-1,-4,0,-29,-10,8,2,5,4,10,-4,23,0,0,0,0,-13,0,1,1,2,3,-10,4,0,0,0,0,-1,5,5,8,1,3,4,15,1,1,0,0
"red",0,13,9,12,8,0,-1,0,0,-1,24,44,95,151,1,4,1,263,0,-8,-6,-9,-5,-1,4,0,45,5,2,4,3,4,4,14,11,-1,-2,0,0,25,45,-1,-1,0,0,-3,-1,0,0,27,45,-6,-5,-4,-6,2,5,-5,1,-1,-2,-2,-5
"red",0,11,8,10,7,-1,-1,0,-40,0,66,93,69,97,-1,-4,0,2,0,5,10,8,13,0,-5,0,43,4,5,1,-3,6,6,10,7,1,1,0,0,54,80,12,13,0,0,38,54,26,37,2,2,-2,1,4,5,3,4,0,6,2,2,3,2
"red",0,-5,1,-6,1,1,1,0,173,0,-8,-5,-6,-2,2,2,-1,247,0,6,7,0,2,1,1,0,288,0,6,0,-1,-5,-4,-4,2,0,-1,-1,0,-4,-1,-1,-1,-3,-3,-1,2,-1,-1,-6,-6,7,8,0,0,-1,-1,-1,-3,0,0,7,10
"blue",0,12,13,30,33,2,2,0,254,0,6,3,17,19,1,6,0,245,0,-22,-26,-64,-71,0,3,-1,-263,8,11,5,4,-1,-2,-2,-3,0,0,14,16,3,3,3,0,0,0,-1,-5,2,2,5,6,-18,-23,-4,-3,0,0,-2,-4,-1,-1,-19,-21
"red",0,-6,-13,-5,-9,2,6,0,163,0,-2,-3,2,1,1,2,0,156,0,-4,-5,-15,-12,2,3,0,283,-5,-10,-1,-1,0,-2,-6,-13,0,0,0,0,1,1,-2,-4,-1,0,-3,-4,-1,-1,2,2,-6,-7,1,1,1,1,-4,-5,2,2,-2,-2
"red",0,-3,-31,-3,-31,0,0,0,0,0,7,-20,3,-24,-1,1,0,57,0,1,-12,20,11,1,1,0,217,-2,-27,1,-1,-2,-3,-3,-31,0,0,0,0,1,-25,4,2,2,3,6,-20,3,4,-2,-4,1,-12,-1,-1,1,1,-5,-20,0,0,6,8
"red",0,0,6,0,8,3,5,0,145,0,-2,-7,3,-2,2,3,0,169,0,-1,5,-8,-1,3,5,0,216,-2,3,1,2,1,1,5,6,-4,2,-1,-2,-9,-14,8,8,-1,-1,5,2,-8,-10,1,1,-4,2,3,3,0,0,-11,-6,3,3,7,8
"red",0,-7,-29,-5,-26,1,4,0,82,0,10,0,19,8,2,2,0,139,0,-7,-14,-1,-2,2,5,0,176,-3,-18,0,-8,-4,-3,-12,-34,3,3,2,2,13,6,-6,-7,3,1,-5,-15,-1,-1,16,16,-2,-7,0,-2,-5,-5,-15,-25,-1,-1,9,12
"red",0,6,11,6,11,0,-3,0,-147,0,7,14,8,15,0,-2,0,12,0,9,9,1,2,1,-2,0,-34,0,3,6,8,0,0,0,6,6,5,0,0,3,7,4,6,0,1,2,7,5,6,0,1,6,6,5,5,-2,-2,5,5,4,4,0,0
"blue",0,-18,-29,-16,-32,1,3,2,-27,0,-10,-12,-33,-41,1,2,0,-89,0,-26,-28,-59,-63,1,1,0,-200,-14,-24,-2,-3,-2,-2,-8,-19,-10,-10,0,0,-9,-11,-1,-1,0,0,-1,-3,-1,-1,-8,-8,-25,-27,-1,-1,0,0,-14,-13,-6,-9,-6,-6
"red",0,4,0,3,0,0,-4,0,-90,0,2,-2,2,-2,0,-1,0,0,0,23,30,23,30,0,-1,0,0,4,1,3,2,-3,-3,5,3,-1,-3,0,0,10,4,-2,0,-6,-6,4,2,-2,-4,0,0,26,34,-4,-5,1,1,23,30,0,0,0,0
