"winner","kd_rnd_1","sig_str_rnd_1","sig_str_attempt_rnd_1","tot_str_rnd_1","tot_str_attempt_rnd_1","td_rnd_1","td_attempt_rnd_1","sub_attempt_rnd_1","ctrl_time_rnd_1","kd_rnd_2","sig_str_rnd_2","sig_str_attempt_rnd_2","tot_str_rnd_2","tot_str_attempt_rnd_2","td_rnd_2","td_attempt_rnd_2","sub_attempt_rnd_2","ctrl_time_rnd_2","kd_rnd_3","sig_str_rnd_3","sig_str_attempt_rnd_3","tot_str_rnd_3","tot_str_attempt_rnd_3","td_rnd_3","td_attempt_rnd_3","sub_attempt_rnd_3","ctrl_time_rnd_3","sig_str_head_rnd_1","sig_str_head_attempt_rnd_1","sig_str_body_rnd_1","sig_str_body_attempt_rnd_1","sig_str_leg_rnd_1","sig_str_leg_attempt_rnd_1","sig_str_dist_rnd_1","sig_str_dist_attempt_rnd_1","sig_str_clinch_rnd_1","sig_str_clinch_attempt_rnd_1","sig_str_gnd_rnd_1","sig_str_gnd_attempt_rnd_1","sig_str_head_rnd_2","sig_str_head_attempt_rnd_2","sig_str_body_rnd_2","sig_str_body_attempt_rnd_2","sig_str_leg_rnd_2","sig_str_leg_attempt_rnd_2","sig_str_dist_rnd_2","sig_str_dist_attempt_rnd_2","sig_str_clinch_rnd_2","sig_str_clinch_attempt_rnd_2","sig_str_gnd_rnd_2","sig_str_gnd_attempt_rnd_2","sig_str_head_rnd_3","sig_str_head_attempt_rnd_3","sig_str_body_rnd_3","sig_str_body_attempt_rnd_3","sig_str_leg_rnd_3","sig_str_leg_attempt_rnd_3","sig_str_dist_rnd_3","sig_str_dist_attempt_rnd_3","sig_str_clinch_rnd_3","sig_str_clinch_attempt_rnd_3","sig_str_gnd_rnd_3","sig_str_gnd_attempt_rnd_3"
"blue",0,-11,-10,-45,-43,-1,1,0,163,0,-5,-12,-5,-13,1,1,0,-23,0,-28,-35,-33,-42,0,0,0,-272,-13,-12,2,2,0,0,2,5,-2,-2,-11,-13,-7,-14,2,2,0,0,1,0,0,-2,-6,-10,-23,-29,-5,-6,0,0,0,0,-4,-5,-24,-30
"blue",0,5,4,-6,-7,-1,-3,0,-63,0,-3,-7,-7,-10,1,-1,0,138,0,-16,-37,-27,-50,-1,-4,0,63,7,9,0,-2,-2,-3,1,0,4,4,0,0,2,-2,0,0,-5,-5,-7,-14,1,1,3,6,-12,-33,-2,-2,-2,-2,-10,-33,-5,-3,-1,-1
"blue",0,7,8,5,6,3,6,0,245,0,-15,-18,-34,-40,1,3,0,-31,0,-16,-24,-25,-38,-1,1,0,-112,5,8,0,0,2,0,3,3,2,2,2,3,-9,-11,-1,-2,-5,-5,-2,-1,-2,-3,-11,-14,-12,-18,0,-1,-4,-5,-3,-5,-3,-4,-10,-15
"red",0,7,0,10,4,1,2,0,30,0,3,2,5,3,1,4,0,102,0,9,-4,15,2,1,1,0,64,11,7,-1,-5,-3,-2,2,-5,0,0,5,5,4,4,-3,-3,2,1,-2,-2,2,1,3,3,10,2,3,-1,-4,-5,1,-12,1,1,7,7
"red",0,-9,-7,-11,-10,0,-3,1,5,0,15,20,27,34,1,1,2,211,0,-14,-52,-11,-49,0,1,0,52,-10,-8,-1,-1,2,2,-8,-6,3,4,-4,-5,16,20,-3,-2,2,2,-1,-2,-1,-1,17,23,-9,-47,-5,-5,0,0,-14,-50,0,-2,0,0
"red",0,12,11,18,17,1,1,0,66,0,6,-1,7,1,0,0,0,0,0,5,-12,5,-12,3,3,0,55,15,20,4,0,-7,-9,-1,-5,3,2,10,14,16,15,-1,-3,-9,-13,4,-2,2,1,0,0,14,5,-2,-9,-7,-8,4,-13,1,1,0,0
"blue",0,-12,-26,-14,-28,0,-1,0,-30,0,-27,-33,-27,-33,0,1,0,-61,0,-27,-38,-49,-64,0,-2,0,-167,-1,-6,0,-5,-11,-15,-12,-26,0,0,0,0,-1,-7,-6,-3,-20,-23,-18,-24,-9,-9,0,0,-7,-17,-4,-4,-16,-17,-11,-21,-16,-17,0,0
"blue",0,-3,-31,-3,-31,0,0,0,0,0,0,-9,-3,-12,-1,-1,0,-22,0,7,-15,8,-14,1,3,0,17,-3,-26,-3,-8,3,3,-3,-31,0,0,0,0,-6,-15,-3,-5,9,11,0,-8,0,-1,0,0,-1,-19,-4,-8,12,12,4,-19,3,4,0,0
"red",0,9,-4,-14,-27,1,0,0,103,0,-6,-34,-27,-56,1,1,0,44,0,24,25,48,54,0,-1,1,131,10,-3,-3,-2,2,1,-1,-19,2,3,8,12,11,-10,-17,-25,0,1,3,-20,-10,-15,1,1,22,23,1,1,1,1,2,-1,2,2,20,24
"blue",0,2,0,2,0,0,0,0,0,0,-6,-11,-15,-20,-1,-2,0,-65,0,-12,-20,-26,-34,0,0,0,-177,8,8,2,1,-8,-9,2,1,0,-1,0,0,1,-2,-2,-5,-5,-4,-3,-4,-3,-7,0,0,-5,-12,-5,-5,-2,-3,-9,-9,-3,-11,0,0
"red",0,10,17,11,19,0,-2,0,17,1,23,38,37,56,0,0,3,143,0,9,27,9,27,0,0,0,0,4,7,5,10,1,0,4,5,7,13,-1,-1,19,32,5,8,-1,-2,11,21,4,7,8,10,13,38,0,-6,-4,-5,12,30,-3,-3,0,0
"red",0,-2,-18,-9,-25,2,3,0,72,0,-3,-31,-8,-38,0,0,0,33,0,-4,-27,-5,-28,2,5,0,82,10,1,-9,-8,-3,-11,-3,-18,-4,-5,5,5,5,-12,-3,-6,-5,-13,-4,-28,1,-3,0,0,3,-15,-4,-3,-3,-9,-1,-22,-3,-5,0,0
"blue",0,-4,-8,-4,-8,0,0,0,0,0,-5,1,-5,1,0,0,0,0,0,4,-5,-6,-15,0,2,0,97,-6,-18,0,2,2,8,-3,-7,-1,-1,0,0,-5,-2,0,2,0,1,-7,-1,2,2,0,0,-5,-21,-4,-3,13,19,-5,-13,4,3,5,5
"blue",0,-9,-25,-29,-46,-2,-2,0,-42,0,1,1,-102,-107,-2,-3,0,-261,0,-15,-22,-41,-51,-1,-4,0,-174,-9,-24,-3,-6,3,5,-3,-20,4,7,-10,-12,-1,-1,1,1,1,1,-2,-1,5,5,-2,-3,-12,-19,0,0,-3,-3,-2,-8,-1,-1,-12,-13
"blue",0,-8,-19,-16,-29,-1,-2,0,-164,0,8,0,7,-1,0,0,0,-18,0,-3,1,-17,-14,-1,-5,0,-191,0,-7,-4,-5,-4,-7,-6,-18,2,4,-4,-5,11,5,-4,-6,1,1,-6,-17,14,17,0,0,0,4,-1,-1,-2,-2,-7,-4,1,2,3,3
"blue",0,-8,-22,-8,-22,0,0,0,0,0,-5,-21,-4,-20,1,2,0,36,0,-18,-69,-18,-69,0,3,0,2,-2,-12,-4,-6,-2,-4,-8,-22,0,0,0,0,-5,-17,0,-3,0,-1,-6,-22,1,1,0,0,-10,-60,-7,-9,-1,0,-17,-67,-1,-2,0,0
"red",0,2,8,2,8,0,0,0,0,0,11,22,11,22,0,-1,0,0,0,25,18,24,17,0,-1,0,3,-6,3,-1,-3,9,8,2,8,0,0,0,0,3,6,-1,5,9,11,12,24,-1,-2,0,0,8,3,7,7,10,8,24,16,0,0,1,2
"red",0,-15,-57,-20,-62,0,0,0,-10,0,-13,-38,-9,-32,1,1,0,93,0,-12,-28,-9,-24,1,1,0,151,-8,-49,-3,-4,-4,-4,-14,-56,-1,-1,0,0,-6,-31,-8,-8,1,1,-9,-33,-5,-6,1,1,-10,-25,-2,-3,0,0,-9,-22,-5,-8,2,2
"blue",0,-8,-15,-10,-17,-1,-2,0,-14,0,-10,-12,-6,-10,-1,-1,-1,-127,1,-5,-7,-17,-22,0,0,1,-215,0,3,-3,-10,-5,-8,-5,-15,-3,0,0,0,-1,-2,-3,-5,-6,-5,-8,-9,-2,-3,0,0,-1,0,-1,-3,-3,-4,-5,-8,-1,-1,1,2
"blue",0,-3,19,-2,20,0,1,0,41,0,-5,-2,-14,-11,0,-1,0,-88,0,-9,10,-9,10,0,0,0,-5,-2,15,1,6,-2,-2,1,20,-4,-1,0,0,-7,-4,1,2,1,0,8,13,1,3,-14,-18,-9,9,-1,0,1,1,1,20,-9,-10,-1,0
"blue",0,-8,-11,-8,-11,0,-1,0,0,0,-7,-5,-15,-13,0,0,0,-6,0,1,-3,1,-3,-1,-1,1,-16,-8,-15,5,7,-5,-3,-7,-11,-1,0,0,0,-1,-3,5,9,-11,-11,-7,-5,0,0,0,0,-6,-23,13,25,-6,-5,0,-7,1,4,0,0
"red",0,9,8,12,10,1,2,0,222,0,7,-2,-4,-13,0,0,0,190,0,7,9,1,5,0,1,0,38,7,6,3,3,-1,-1,-2,-6,1,1,10,13,12,5,-2,-3,-3,-4,7,-2,-1,-1,1,1,6,9,1,0,0,0,2,4,-1,-2,6,7
"blue",0,10,15,10,15,0,0,0,-24,0,8,23,7,22,0,0,0,-22,0,15,5,14,4,0,-1,0,-49,6,12,2,3,2,0,9,14,1,1,0,0,-4,11,12,9,0,3,6,22,2,1,0,0,3,-5,7,7,5,3,20,15,-5,-10,0,0
"red",0,1,2,4,6,1,-2,0,114,0,2,5,4,5,0,3,0,-58,0,5,7,25,28,0,0,0,43,1,2,0,0,0,0,-1,-1,1,2,1,1,0,2,1,2,1,1,-2,-2,3,3,1,4,4,6,1,1,0,0,2,3,1,1,2,3
"red",0,10,-28,11,-27,0,1,0,-16,0,24,-26,24,-26,0,-1,0,0,0,26,1,26,1,0,0,0,-2,10,-24,-2,-6,2,2,9,-26,0,-3,1,1,19,-22,5,-2,0,-2,21,-29,3,3,0,0,14,-2,12,3,0,0,23,-3,3,4,0,0
"blue",0,-2,19,-2,19,0,3,0,13,0,1,24,1,24,0,-1,0,-17,1,1,26,3,28,0,3,0,23,-5,8,-1,5,4,6,-3,18,1,1,0,0,-8,11,1,3,8,10,2,25,-1,-1,0,0,-6,12,-1,4,8,10,-1,25,1,0,1,1
"red",0,2,-3,6,1,0,-3,0,17,0,0,-4,-23,-27,1,1,0,91,0,-1,-16,4,-11,2,-1,0,151,3,0,-1,-3,0,0,1,-3,0,-1,1,1,-1,-2,1,-1,0,-1,-2,-6,1,1,1,1,0,-11,-1,-5,0,0,-1,-15,0,-1,0,0
"red",0,-15,-6,2,15,2,2,0,119,0,-3,-13,24,17,1,2,0,225,0,-13,-18,-8,-14,2,2,0,146,-15,-7,1,2,-1,-1,-16,-9,1,2,0,1,-1,-12,-2,-1,0,0,-4,-12,-2,-2,3,1,-5,-9,-8,-9,0,0,-11,-17,-6,-7,4,6
"red",0,8,8,12,12,2,2,0,131,0,15,29,43,66,1,1,0,219,0,14,15,50,54,1,1,0,213,5,1,1,5,2,2,5,7,0,0,3,1,15,27,0,1,0,1,-2,3,0,0,17,26,11,11,3,4,0,0,2,3,0,0,12,12
"red",0,12,8,22,15,2,4,0,192,0,6,4,10,8,2,6,0,227,0,6,8,-5,-3,1,4,0,278,13,9,0,0,-1,-1,-3,-8,6,5,9,11,3,2,2,3,1,-1,-1,-5,-4,-4,11,13,7,9,0,0,-1,-1,0,2,3,3,3,3
"red",0,1,-5,-9,-15,0,2,0,93,0,-6,-10,-11,-15,1,3,0,114,0,1,-3,-5,-9,1,1,0,121,5,2,-3,-6,-1,-1,0,-8,1,3,0,0,-2,-6,-2,-2,-2,-2,-3,-8,-1,0,-2,-2,1,-2,0,1,0,-2,2,-3,0,1,-1,-1
"blue",0,-21,-28,-21,-28,0,0,0,0,-4,-23,-39,-26,-43,0,1,0,-41,0,-19,-21,-17,-19,0,0,0,0,-1,-4,-5,-7,-15,-17,-21,-29,0,1,0,0,-12,-23,-4,-4,-7,-12,-19,-27,0,0,-4,-12,-1,0,-2,-5,-16,-16,-19,-21,0,0,0,0
"blue",0,-5,-4,-6,-5,0,1,0,8,0,-4,-10,-4,-10,0,0,0,8,0,-5,-8,-4,-7,1,1,0,13,-4,-2,0,0,-1,-2,-4,-5,-1,1,0,0,-1,-3,0,-2,-3,-5,-5,-12,1,2,0,0,1,-6,-1,0,-5,-2,-9,-15,0,0,4,7
"blue",0,0,6,5,12,-2,-6,-1,-143,0,0,11,-6,5,-1,-4,0,-7,0,4,22,-6,12,-1,-3,0,-91,1,9,1,0,-2,-3,3,9,1,1,-4,-4,3,18,0,-4,-3,-3,0,10,0,0,0,1,5,24,2,1,-3,-3,4,21,0,2,0,-1
"red",0,0,-9,-1,-9,3,4,3,78,0,-11,-25,-4,-17,2,6,0,20,0,-6,-24,-1,-18,1,0,0,-7,0,-8,1,1,-1,-2,-2,-14,2,5,0,0,-9,-18,-2,-7,0,0,-5,-17,-6,-8,0,0,-14,-29,5,3,3,2,-6,-24,-2,-3,2,3
"blue",0,5,6,-8,-7,0,-2,0,-81,0,1,-4,-34,-49,-1,-2,0,-186,0,-5,-13,-34,-63,-1,-2,0,-227,-3,-3,2,3,6,6,5,7,0,-1,0,0,-8,-14,1,2,8,8,7,8,1,1,-7,-13,-9,-18,0,0,4,5,1,1,1,1,-7,-15
"red",0,-2,3,7,12,2,2,0,85,0,18,26,42,53,1,2,0,114,0,18,16,70,80,-1,-1,0,260,5,11,2,2,-9,-10,-3,2,1,1,0,0,18,27,0,-1,0,0,12,17,6,9,0,0,9,7,8,8,1,1,3,1,0,0,15,15
"blue",0,-16,-15,-38,-38,-1,-1,0,-175,0,6,16,-16,-11,-1,-1,0,-69,0,10,31,7,29,0,0,0,7,-3,-1,-10,-10,-3,-4,-3,-3,-7,-6,-6,-6,6,15,1,3,-1,-2,4,14,2,2,0,0,6,28,4,3,0,0,8,28,1,1,1,2
"blue",0,11,-4,13,-2,0,-1,0,12,0,-10,-13,-14,-16,-1,-1,-1,-161,0,-8,-14,-4,-8,-1,-2,0,-10,-2,-17,3,2,10,11,12,-1,-1,-3,0,0,-2,-4,-2,-3,-6,-6,-6,-9,0,0,-4,-4,-5,-11,2,2,-5,-5,-5,-8,-3,-5,0,-1
"red",0,9,7,9,9,0,1,0,25,0,-3,0,8,12,0,2,0,23,1,13,23,24,34,0,0,0,30,1,-6,2,3,6,10,7,2,2,5,0,0,-3,2,-3,-6,3,4,-4,1,1,-1,0,0,13,22,0,-2,0,3,4,10,0,1,9,12
"red",1,6,4,4,2,0,0,-1,62,0,37,59,37,59,0,1,0,15,0,25,25,25,25,0,-1,0,4,13,10,-9,-8,2,2,4,4,-9,-11,11,11,20,41,13,14,4,4,17,39,20,20,0,0,2,-4,7,9,16,20,24,25,1,0,0,0
"blue",0,-5,-37,-5,-37,0,1,0,9,0,-4,-43,-4,-43,0,6,0,9,0,3,-37,4,-36,0,1,0,12,-6,-37,-4,-5,5,5,-6,-39,1,2,0,0,-6,-40,-2,-7,4,4,-4,-42,0,-1,0,0,4,-35,-5,-6,4,4,2,-38,1,1,0,0
"red",0,7,12,14,19,-2,-3,0,-46,0,9,14,13,19,-3,-6,0,-171,0,1,4,5,4,0,0,-2,-83,6,11,2,2,-1,-1,1,3,0,0,6,9,8,13,1,1,0,0,2,4,0,0,7,10,1,5,-2,-3,2,2,3,8,-4,-6,2,2
"blue",0,-8,-11,-11,-16,-1,-1,0,-62,0,-6,-6,-9,-9,3,4,0,44,0,-1,0,-4,-3,3,4,0,27,-3,-5,-3,-3,-2,-3,-3,-6,-3,-3,-2,-2,0,-1,-6,-5,0,0,0,0,-6,-6,0,0,2,2,-2,-1,-1,-1,-4,-3,3,3,0,0
"blue",0,0,-18,-1,-16,-1,-4,0,-229,0,-7,-23,-12,-28,0,-4,0,-138,0,15,-5,12,-7,0,-1,0,-56,-1,-19,-4,-5,5,6,6,-11,-2,-1,-4,-6,-8,-22,0,-5,1,4,-6,-19,-1,-4,0,0,3,-22,5,7,7,10,14,-6,1,1,0,0
"red",0,14,25,18,33,1,2,0,187,0,15,15,14,15,1,1,0,228,0,5,-14,44,32,0,1,0,79,14,23,-1,1,1,1,1,3,-1,0,14,22,9,5,0,1,6,9,5,4,0,0,10,11,-5,-27,1,1,9,12,5,-13,0,0,0,-1
"red",0,10,14,23,27,4,5,0,264,0,8,9,33,35,2,3,0,279,0,2,1,7,12,1,3,0,161,5,8,1,2,4,4,3,4,1,1,6,9,3,4,0,0,5,5,2,2,0,0,6,7,0,-2,0,1,2,2,1,-4,0,1,1,4
"red",0,7,3,7,3,0,0,0,0,0,15,13,17,14,0,0,0,2,0,14,8,14,8,0,0,0,0,4,-3,0,3,3,3,7,3,0,0,0,0,1,-5,2,2,12,16,15,13,0,0,0,0,2,-6,-4,-2,16,16,14,8,0,0,0,0
"red",0,6,5,8,7,2,1,0,109,0,2,4,0,0,1,1,0,199,0,4,-8,2,-9,0,1,0,82,10,13,-3,-5,-1,-3,1,-1,-1,-1,6,7,-2,-1,2,3,2,2,2,0,-1,-1,1,5,5,-5,-1,-3,0,0,3,-9,1,1,0,0
"red",0,3,-2,0,-6,-1,-2,0,55,0,9,16,6,13,-3,-3,0,-126,0,6,13,3,11,1,0,-1,50,11,8,-2,-4,-6,-6,-3,-9,4,5,2,2,11,18,1,1,-3,-3,9,8,0,8,0,0,6,13,1,1,-1,-1,3,9,1,1,2,3
"red",0,5,0,5,0,-1,0,1,-28,0,4,2,10,8,-2,-2,-1,-73,0,-1,0,-12,-15,-2,-3,0,-69,1,-7,2,4,2,3,4,-3,1,3,0,0,3,0,2,3,-1,-1,5,3,-1,-1,0,0,-2,-1,2,2,-1,-1,-1,0,0,0,0,0
"blue",0,-5,-7,-3,-4,0,1,0,28,0,2,-7,23,26,1,1,0,201,0,15,8,17,10,0,0,0,8,-14,-20,3,6,6,7,-14,-18,9,11,0,0,-1,-13,2,4,1,2,1,-7,0,-1,1,1,-13,-25,11,15,17,18,14,6,1,2,0,0
"blue",0,-16,-23,-16,-23,0,0,0,0,0,-24,-18,-25,-20,0,3,0,-1,0,-14,-5,-14,-5,0,0,0,40,1,-1,-7,-10,-10,-12,-16,-23,0,0,0,0,-6,1,-8,-7,-10,-12,-24,-18,0,0,0,0,-6,5,-5,-6,-3,-4,-14,-4,0,-1,0,0
"blue",0,-9,-15,-9,-15,0,-2,0,-14,0,-9,-10,-9,-10,-1,-1,0,-4,0,-4,1,-4,1,0,0,0,0,4,1,-5,-7,-8,-9,-8,-13,-1,-2,0,0,-4,3,-1,-2,-4,-11,-9,-10,0,0,0,0,-1,2,-3,-2,0,1,-4,0,0,1,0,0
"red",0,2,6,12,19,0,-1,0,51,1,20,25,22,27,0,0,0,-7,0,0,0,-14,-15,-1,0,0,-98,0,1,2,5,0,0,0,4,2,2,0,0,15,19,6,6,-1,0,2,2,7,9,11,14,-1,0,1,1,0,-1,-2,-2,2,2,0,0
"blue",0,2,11,6,15,1,1,0,46,0,-4,-4,-2,-2,0,1,0,7,0,-7,-29,-3,-25,0,3,0,40,4,13,0,-2,-2,0,2,11,0,-1,0,1,4,4,-5,-7,-3,-1,-6,-8,2,4,0,0,0,-17,-7,-11,0,-1,-7,-29,0,0,0,0
"red",-1,0,-1,-3,-5,0,0,0,-36,0,-1,27,-1,27,0,0,0,0,0,0,28,0,28,0,0,0,0,5,10,-2,-8,-3,-3,2,3,-2,-4,0,0,-1,25,3,4,-3,-2,0,28,-1,-1,0,0,0,30,1,0,-1,-2,0,28,0,0,0,0
"red",0,-1,1,3,6,0,0,0,57,1,5,8,5,8,0,-2,0,2,0,3,-2,3,-2,0,-1,0,0,4,7,-2,-5,-3,-1,-3,-7,0,0,2,8,11,16,3,3,-9,-11,5,8,0,0,0,0,5,6,3,2,-5,-10,3,-2,0,0,0,0
"red",1,18,17,18,17,-1,-2,0,-9,0,14,12,13,10,2,2,0,97,0,16,17,25,27,1,1,0,144,5,1,7,7,6,9,18,17,0,1,0,-1,1,0,8,7,5,5,12,8,2,4,0,0,5,5,4,5,7,7,11,11,3,3,2,3
"blue",0,-10,-8,-14,-12,-1,-2,0,-179,0,-31,-35,-43,-48,-1,-1,0,-195,0,-18,-16,-62,-60,-1,-2,0,-271,-10,-10,2,6,-2,-4,-4,-4,0,2,-6,-6,-31,-35,0,0,0,0,-3,-1,0,0,-28,-34,-14,-12,-1,-1,-3,-3,-2,0,0,0,-16,-16
"red",0,7,1,10,3,1,4,2,5,0,8,-20,7,-22,0,5,0,0,0,17,-18,16,-19,1,2,0,3,-1,-7,3,4,5,4,3,-6,0,2,4,5,8,-19,-1,-3,1,2,5,-25,3,5,0,0,20,-13,-4,-6,1,1,14,-22,2,2,1,2
"red",0,10,17,10,17,0,0,0,0,0,1,16,1,16,0,0,0,0,0,-9,-18,-8,-17,0,0,0,0,7,14,8,8,-5,-5,8,15,2,2,0,0,3,22,2,-2,-4,-4,1,16,0,0,0,0,-7,-15,3,3,-5,-6,-8,-18,-1,0,0,0
"blue",0,-4,-18,2,-12,0,-2,0,-116,0,-11,-14,-2,-4,0,1,0,-71,0,4,-6,6,-4,0,1,0,-5,-3,-17,-1,-2,0,1,-1,-14,-3,-4,0,0,-5,-10,-5,-4,-1,0,-6,-9,-5,-5,0,0,-4,-17,5,9,3,2,4,-5,0,-1,0,0
"red",0,9,12,26,29,-1,-1,0,80,0,9,26,9,26,-1,-1,0,-5,0,13,31,11,29,-1,-1,0,-30,2,3,0,0,7,9,9,12,0,0,0,0,5,18,-1,0,5,8,9,26,0,0,0,0,9,27,0,-2,4,6,11,30,2,2,0,-1
"blue",0,-16,-24,-24,-33,0,0,0,-128,0,-22,-31,-24,-33,0,0,0,-20,0,-2,-26,-1,-25,0,0,0,-3,1,-1,-11,-16,-6,-7,-7,-16,-10,-11,1,3,-2,-6,-9,-10,-11,-15,-15,-23,-7,-8,0,0,8,-10,3,0,-13,-16,-2,-25,0,-1,0,0
"red",0,-4,1,-7,2,4,7,-1,256,0,-4,20,-3,20,1,3,0,77,0,16,22,26,35,1,1,1,257,-4,2,0,-1,0,0,-2,-1,0,0,-2,2,1,25,-7,-8,2,3,-1,14,-3,2,0,4,14,21,0,-1,2,2,1,0,0,0,15,22
"red",0,4,21,5,22,0,-1,0,1,0,3,1,3,1,0,0,0,-27,0,-3,-4,-3,-4,0,0,0,0,8,18,1,6,-5,-3,-4,10,8,11,0,0,-1,-3,-4,-3,8,7,3,1,0,0,0,0,-7,-8,2,2,2,2,-3,-5,0,1,0,0
"red",0,-17,-18,-16,-16,-1,-2,1,-224,0,13,6,12,5,0,-4,2,26,0,11,6,24,19,2,0,0,-50,-13,-13,0,0,-4,-5,-2,-2,-9,-9,-6,-7,8,3,7,5,-2,-2,8,1,5,5,0,0,7,2,4,4,0,0,5,1,6,5,0,0
"blue",0,-11,-35,-13,-37,0,-3,0,-68,0,-10,-16,-22,-29,-1,-3,0,24,0,-12,-29,-50,-73,-1,-1,0,-168,1,-8,-2,-9,-10,-18,-13,-36,2,1,0,0,-2,0,1,-4,-9,-12,-9,-16,0,0,-1,0,-14,-27,0,-1,2,-1,4,-11,-6,-6,-10,-12
"blue",0,-6,-5,-6,-5,0,0,0,0,0,-20,-16,-29,-29,-3,-5,0,-155,0,-3,13,-3,13,0,-3,0,-1,-4,-5,-1,0,-1,0,-6,-5,0,0,0,0,-15,-9,-3,-5,-2,-2,-11,-5,0,0,-9,-11,-4,11,3,4,-2,-2,-2,14,-1,-1,0,0
"red",0,-1,-5,-1,-5,0,4,0,20,0,4,10,0,4,0,3,0,11,0,4,-5,-1,-10,-1,-1,0,22,-2,-9,0,3,1,1,1,0,0,-3,-2,-2,3,2,3,7,-2,1,4,11,0,-1,0,0,3,-3,8,7,-7,-9,8,-2,-1,0,-3,-3
"blue",-1,0,-3,-5,-9,0,0,0,-53,0,8,4,37,45,0,0,0,-218,0,2,18,2,18,0,0,0,-7,-3,-1,3,3,0,-5,4,5,0,0,-4,-8,6,6,1,-1,1,-1,5,1,0,0,3,3,5,26,-7,-11,4,3,2,18,0,0,0,0
"red",0,-2,-16,7,-7,1,0,-2,250,0,-5,-25,-4,-24,1,1,0,8,0,-12,-35,-20,-46,1,1,2,22,-3,-15,-1,-2,2,1,-1,-13,0,-2,-1,-1,-4,-26,-2,0,1,1,-2,-18,0,0,-3,-7,-3,-24,4,4,-13,-15,-3,-26,0,0,-9,-9
"blue",0,-7,-16,-7,-16,1,2,0,4,1,-17,-23,-14,-21,0,1,0,6,0,-26,-35,-46,-57,-1,0,0,-62,-4,-12,-1,-1,-2,-3,-8,-17,1,1,0,0,-14,-20,-5,-6,2,3,-11,-18,-7,-6,1,1,-25,-34,-2,-2,1,1,-17,-26,-5,-5,-4,-4
"red",1,1,1,16,18,0,-3,0,160,0,-2,2,-3,1,0,-2,0,74,0,8,2,21,15,1,3,0,86,2,3,1,0,-2,-2,-4,-6,2,3,3,4,3,6,-3,-2,-2,-2,-2,1,-2,-1,2,2,7,5,0,-4,1,1,8,3,-1,-2,1,1
"blue",0,-12,-20,-15,-23,1,4,-1,113,0,-19,-20,-27,-28,1,5,0,25,0,-17,-28,-38,-59,1,3,0,-8,-4,-10,-2,-3,-6,-7,-7,-12,-1,-2,-4,-6,-8,-10,-7,-5,-4,-5,-13,-14,-4,-4,-2,-2,-13,-21,-3,-4,-1,-3,-5,-14,0,0,-12,-14
"blue",0,-12,-42,-14,-45,1,3,-1,20,0,-6,-40,-6,-40,2,3,0,5,0,-22,-55,-27,-59,0,6,0,24,-8,-35,-2,-4,-2,-3,-7,-35,-1,-2,-4,-5,-1,-36,-1,0,-4,-4,-7,-41,0,-2,1,3,-14,-40,-5,-12,-3,-3,-19,-54,-3,-1,0,0
"red",0,9,4,9,4,0,0,0,0,0,14,20,14,20,0,0,0,0,0,3,-1,3,-1,0,0,0,0,-5,-20,12,20,2,4,9,4,0,0,0,0,2,4,11,14,1,2,14,20,0,0,0,0,2,-6,2,6,-1,-1,4,0,-1,-1,0,0
"blue",0,2,2,2,2,0,0,0,-28,0,7,-1,-3,-11,0,0,0,96,0,-3,1,0,4,0,0,0,-7,-3,-2,5,6,0,-2,4,2,-2,0,0,0,0,-5,4,4,3,0,5,-6,2,5,0,0,-4,3,3,3,-2,-5,0,7,-3,-6,0,0
"blue",0,-8,-4,-8,-3,0,-2,0,-3,0,-6,-11,-6,-11,0,-3,0,-33,0,5,-1,5,-1,0,-1,0,-22,4,10,-6,-9,-6,-5,-5,-1,-3,-3,0,0,-3,-7,-5,-7,2,3,-6,-9,0,-2,0,0,-1,-6,0,0,6,5,4,-1,1,0,0,0
"red",0,12,39,12,39,0,0,0,0,-1,-2,7,-7,2,0,0,0,-50,0,12,37,12,37,0,0,0,0,10,32,-3,-1,5,8,12,39,0,0,0,0,-2,5,0,3,0,-1,2,16,0,0,-4,-9,10,32,2,3,0,2,12,37,0,0,0,0
"blue",0,-14,-18,-35,-41,0,-3,0,-42,0,-39,-54,-36,-50,0,-2,0,13,0,-24,-20,-22,-18,0,-2,0,34,1,-3,-14,-14,-1,-1,-2,-3,-12,-15,0,0,-17,-31,-12,-12,-10,-11,-34,-46,-5,-8,0,0,-12,-3,-6,-9,-6,-8,-24,-20,1,1,-1,-1
"blue",0,-10,17,-12,15,0,0,0,12,0,-20,-9,-19,-8,1,4,0,-67,0,-15,8,-16,7,1,4,0,6,1,20,-3,2,-8,-5,-9,18,-2,-2,1,1,-8,7,-5,-9,-7,-7,-17,0,-2,-8,-1,-1,-2,19,-6,-3,-7,-8,-16,6,1,2,0,0
"blue",0,-27,-23,-18,-11,-2,-8,0,-162,0,-6,3,0,9,-2,-5,-1,-90,0,16,20,25,29,-1,-6,0,-138,-8,-7,-6,-3,-13,-13,-12,-7,-15,-16,0,0,-3,5,-2,-1,-1,-1,-6,2,0,1,0,0,11,13,5,7,0,0,3,7,6,6,7,7
"red",0,14,23,14,23,0,0,0,0,0,0,4,-3,1,0,0,0,0,0,20,33,20,33,0,0,0,0,8,15,0,1,6,7,12,20,2,3,0,0,-4,0,-2,0,6,4,5,9,-5,-5,0,0,7,15,3,9,10,9,20,33,0,0,0,0
